No_Die,Etching_Chamber,Process 3,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,Lot_Num,Wafer_Num,Datetime
NOLSM32513163,3,Etching,219.0,1451.0,3637.0,5729.0,72.796,50.856,0.877,13,5,2025-01-05
NOLSM32513164,2,Etching,272.0,1540.0,3661.0,5704.0,70.135,51.755,0.95,13,6,2025-01-05
NOLSM32513165,1,Etching,429.0,1624.0,3617.0,5728.0,70.751,50.631,1.053,13,7,2025-01-05
NOLSM32513166,1,Etching,561.0,1478.0,3687.0,5734.0,69.546,51.798,0.927,13,8,2025-01-05
NOLSM32513167,2,Etching,-45.0,1414.0,3641.0,5731.0,70.1,51.015,1.139,13,9,2025-01-05
NOLSM32513168,3,Etching,404.0,1635.0,3653.0,5695.0,71.744,51.786,1.089,13,10,2025-01-05
NOLSM32513169,3,Etching,408.0,1553.0,3651.0,5718.0,70.159,50.719,0.907,13,11,2025-01-05
NOLSM32513170,2,Etching,362.0,1463.0,3683.0,5698.0,72.665,50.758,1.146,13,12,2025-01-05
NOLSM32513171,1,Etching,308.0,1498.0,3621.0,5732.0,70.756,51.009,0.996,13,13,2025-01-05
NOLSM32513172,1,Etching,604.0,1524.0,3653.0,5721.0,71.003,50.752,1.03,13,14,2025-01-05
NOLSM32513173,2,Etching,280.0,1571.0,3642.0,5711.0,71.323,50.392,1.148,13,15,2025-01-05
NOLSM32513174,3,Etching,282.0,1442.0,3636.0,5694.0,72.02,50.678,0.955,13,16,2025-01-05
NOLSM32513175,3,Etching,477.0,1561.0,3667.0,5723.0,72.132,51.446,0.964,13,17,2025-01-05
NOLSM32513176,2,Etching,350.0,1690.0,3659.0,5691.0,72.878,50.224,1.172,13,18,2025-01-05
NOLSM32513177,1,Etching,353.0,1544.0,3649.0,5706.0,70.113,51.626,1.066,13,19,2025-01-05
NOLSM32513178,1,Etching,278.0,1463.0,3673.0,5727.0,70.806,51.487,1.082,13,20,2025-01-05
NOLSM32513179,3,Etching,378.0,1616.0,3683.0,5709.0,71.248,51.355,1.011,13,21,2025-01-05
NOLSM32513180,3,Etching,317.0,1449.0,3617.0,5739.0,70.516,49.75,1.037,13,22,2025-01-05
NOLSM32513181,2,Etching,473.0,1576.0,3672.0,5738.0,70.177,51.156,0.996,13,23,2025-01-05
NOLSM32513182,1,Etching,499.0,1450.0,3649.0,5730.0,69.973,51.275,1.05,13,24,2025-01-05
NOLSM32513183,1,Etching,222.0,1390.0,3666.0,5738.0,71.841,51.299,1.107,13,25,2025-01-05
NOLSM32513184,2,Etching,41.0,1646.0,3662.0,5722.0,71.448,51.412,1.032,13,26,2025-01-05
NOLSM32513185,3,Etching,65.0,1469.0,3652.0,5725.0,71.461,50.517,1.047,13,27,2025-01-05
NOLSM32513186,1,Etching,166.0,1518.0,3663.0,5700.0,71.047,51.015,0.957,14,28,2024-12-30
NOLSM32513187,2,Etching,355.0,1605.0,3665.0,5711.0,71.047,51.111,1.072,14,29,2024-12-30
NOLSM32513188,3,Etching,341.0,1635.0,3640.0,5699.0,71.69,49.477,1.025,14,30,2024-12-30
NOLSM32513189,1,Etching,304.0,1499.0,3654.0,5712.0,72.321,51.863,1.099,14,31,2024-12-30
NOLSM32513190,2,Etching,443.0,1421.0,3625.0,5707.0,71.463,51.549,0.861,14,32,2024-12-30
NOLSM32513191,3,Etching,680.0,1517.0,3663.0,5711.0,71.173,52.267,1.052,14,33,2024-12-30
NOLSM32513192,1,Etching,485.0,1505.0,3677.0,5699.0,70.488,52.285,0.937,14,34,2024-12-30
NOLSM32513193,2,Etching,489.0,1657.0,3669.0,5743.0,68.662,50.038,1.076,14,35,2024-12-30
NOLSM32513194,3,Etching,418.0,1583.0,3651.0,5709.0,70.469,51.587,1.043,14,36,2024-12-30
NOLSM32513195,1,Etching,405.0,1572.0,3630.0,5693.0,70.814,50.358,0.931,14,37,2024-12-30
NOLSM32513196,2,Etching,381.0,1485.0,3671.0,5722.0,70.222,52.288,0.958,14,38,2024-12-30
NOLSM32513197,3,Etching,203.0,1615.0,3659.0,5709.0,70.74,51.883,1.048,14,39,2024-12-30
NOLSM32513198,1,Etching,446.0,1422.0,3639.0,5699.0,69.194,50.865,0.951,14,40,2024-12-30
NOLSM32513199,2,Etching,125.0,1395.0,3642.0,5737.0,69.839,50.547,1.043,14,41,2024-12-30
NOLSM32513200,3,Etching,443.0,1532.0,3670.0,5712.0,70.57,50.703,0.857,14,42,2024-12-30
NOLSM32513201,1,Etching,473.0,1341.0,3657.0,5714.0,70.306,51.857,1.122,14,43,2024-12-30
NOLSM32513202,2,Etching,298.0,1564.0,3652.0,5724.0,70.632,50.775,0.884,14,44,2024-12-30
NOLSM32513203,3,Etching,467.0,1532.0,3657.0,5731.0,71.71,49.84,1.122,14,45,2024-12-30
NOLSM32513204,1,Etching,310.0,1377.0,3641.0,5732.0,71.076,50.675,1.062,14,46,2024-12-30
NOLSM32513205,2,Etching,273.0,1489.0,3650.0,5722.0,71.37,50.059,0.914,14,47,2024-12-30
NOLSM32513206,3,Etching,582.0,1576.0,3668.0,5746.0,69.288,50.775,0.944,14,48,2024-12-30
NOLSM32513207,1,Etching,427.0,1548.0,3666.0,5689.0,70.816,50.919,0.871,14,49,2024-12-30
NOLSM32513208,2,Etching,469.0,1460.0,3691.0,5703.0,69.706,51.853,1.111,14,50,2024-12-30
NOLSM32513209,3,Etching,470.0,1495.0,3669.0,5715.0,71.048,50.771,0.958,14,51,2024-12-30
NOLSM32513210,1,Etching,310.0,1449.0,3634.0,5711.0,71.933,50.902,1.121,14,52,2024-12-30
NOLSM32513211,2,Etching,-18.0,1527.0,3701.0,5702.0,70.751,50.983,0.984,14,53,2024-12-30
NOLSM32513212,3,Etching,267.0,1377.0,3645.0,5695.0,71.686,50.682,0.843,14,54,2024-12-30
NOLSM32513213,3,Etching,166.0,1518.0,3663.0,5700.0,71.427,51.101,1.011,14,1,2024-12-30
NOLSM32513214,2,Etching,355.0,1605.0,3665.0,5711.0,70.957,51.315,1.057,14,2,2024-12-30
NOLSM32513215,1,Etching,341.0,1635.0,3640.0,5699.0,71.886,49.296,0.951,14,3,2024-12-30
NOLSM32513216,1,Etching,304.0,1499.0,3654.0,5712.0,72.364,51.941,1.141,14,4,2024-12-30
NOLSM32513217,2,Etching,443.0,1421.0,3625.0,5707.0,71.43,51.737,0.922,14,5,2024-12-30
NOLSM32513218,3,Etching,680.0,1517.0,3663.0,5711.0,71.084,52.025,0.867,14,6,2024-12-30
NOLSM32513219,2,Etching,485.0,1505.0,3677.0,5699.0,70.31,52.393,1.046,14,7,2024-12-30
NOLSM32513220,1,Etching,489.0,1657.0,3669.0,5743.0,68.787,50.112,1.192,14,8,2024-12-30
NOLSM32513221,1,Etching,418.0,1583.0,3651.0,5709.0,70.626,51.599,1.114,14,9,2024-12-30
NOLSM32513222,2,Etching,405.0,1572.0,3630.0,5693.0,70.646,50.156,1.107,14,10,2024-12-30
NOLSM32513223,3,Etching,381.0,1485.0,3671.0,5722.0,70.488,52.212,0.861,14,11,2024-12-30
NOLSM32513224,3,Etching,203.0,1615.0,3659.0,5709.0,70.837,51.757,1.229,14,12,2024-12-30
NOLSM32513225,2,Etching,446.0,1422.0,3639.0,5699.0,69.139,50.79,1.002,14,13,2024-12-30
NOLSM32513226,1,Etching,125.0,1395.0,3642.0,5737.0,69.699,50.329,0.997,14,14,2024-12-30
NOLSM32513227,1,Etching,443.0,1532.0,3670.0,5712.0,70.692,50.924,0.811,14,15,2024-12-30
NOLSM32513228,2,Etching,473.0,1341.0,3657.0,5714.0,70.303,51.863,1.128,14,16,2024-12-30
NOLSM32513229,3,Etching,298.0,1564.0,3652.0,5724.0,70.529,50.599,1.059,14,17,2024-12-30
NOLSM32513230,3,Etching,467.0,1532.0,3657.0,5731.0,71.483,50.096,0.958,14,18,2024-12-30
NOLSM32513231,2,Etching,310.0,1377.0,3641.0,5732.0,70.946,50.85,1.017,14,19,2024-12-30
NOLSM32513232,1,Etching,273.0,1489.0,3650.0,5722.0,71.138,50.07,0.884,14,20,2024-12-30
NOLSM32513233,1,Etching,582.0,1576.0,3668.0,5746.0,69.344,50.664,1.06,14,21,2024-12-30
NOLSM32513234,2,Etching,427.0,1548.0,3666.0,5689.0,70.87,50.849,1.068,14,22,2024-12-30
NOLSM32513235,3,Etching,469.0,1460.0,3691.0,5703.0,69.774,51.893,1.045,14,23,2024-12-30
NOLSM32513236,1,Etching,470.0,1495.0,3669.0,5715.0,70.945,50.848,1.141,14,24,2024-12-30
NOLSM32513237,1,Etching,310.0,1449.0,3634.0,5711.0,72.025,50.734,0.876,14,25,2024-12-30
NOLSM32513238,2,Etching,-18.0,1527.0,3701.0,5702.0,70.813,50.868,0.965,14,26,2024-12-30
NOLSM32513239,3,Etching,267.0,1377.0,3645.0,5695.0,71.671,50.628,1.311,14,27,2024-12-30
NOLSM32513240,1,Etching,363.0,1506.0,3640.0,5706.0,71.882,51.443,1.304,15,28,2024-12-31
NOLSM32513241,2,Etching,425.0,1525.0,3662.0,5722.0,70.259,51.144,1.229,15,29,2024-12-31
NOLSM32513242,3,Etching,309.0,1465.0,3664.0,5723.0,71.208,50.098,0.974,15,30,2024-12-31
NOLSM32513243,1,Etching,285.0,1596.0,3660.0,5741.0,69.128,50.725,1.108,15,31,2024-12-31
NOLSM32513244,2,Etching,306.0,1627.0,3670.0,5722.0,69.815,51.071,1.089,15,32,2024-12-31
NOLSM32513245,3,Etching,448.0,1648.0,3654.0,5725.0,71.126,51.965,1.115,15,33,2024-12-31
NOLSM32513246,1,Etching,463.0,1247.0,3632.0,5726.0,70.573,52.102,1.008,15,34,2024-12-31
NOLSM32513247,2,Etching,250.0,1325.0,3688.0,5692.0,69.014,51.649,1.008,15,35,2024-12-31
NOLSM32513248,3,Etching,362.0,1709.0,3653.0,5732.0,70.801,51.759,1.061,15,36,2024-12-31
NOLSM32513249,1,Etching,348.0,1468.0,3649.0,5715.0,70.733,50.179,1.201,15,37,2024-12-31
NOLSM32513250,2,Etching,460.0,1466.0,3686.0,5714.0,68.887,50.086,0.916,15,38,2024-12-31
NOLSM32513251,3,Etching,263.0,1390.0,3660.0,5706.0,71.692,49.892,1.003,15,39,2024-12-31
NOLSM32513252,1,Etching,498.0,1561.0,3632.0,5724.0,70.118,50.767,1.056,15,40,2024-12-31
NOLSM32513253,2,Etching,192.0,1665.0,3671.0,5729.0,70.655,50.977,1.13,15,41,2024-12-31
NOLSM32513254,3,Etching,387.0,1573.0,3631.0,5718.0,71.724,51.13,1.035,15,42,2024-12-31
NOLSM32513255,1,Etching,450.0,1526.0,3642.0,5733.0,70.547,51.317,1.032,15,43,2024-12-31
NOLSM32513256,2,Etching,371.0,1481.0,3666.0,5727.0,70.033,50.976,1.038,15,44,2024-12-31
NOLSM32513257,3,Etching,277.0,1588.0,3700.0,5720.0,71.152,51.483,0.98,15,45,2024-12-31
NOLSM32513258,1,Etching,359.0,1441.0,3675.0,5716.0,71.195,50.308,1.104,15,46,2024-12-31
NOLSM32513259,2,Etching,343.0,1441.0,3660.0,5708.0,71.351,51.15,1.079,15,47,2024-12-31
NOLSM32513260,3,Etching,261.0,1402.0,3661.0,5699.0,71.286,49.918,1.028,15,48,2024-12-31
NOLSM32513261,1,Etching,244.0,1509.0,3647.0,5706.0,71.244,50.817,1.272,15,49,2024-12-31
NOLSM32513262,2,Etching,218.0,1576.0,3651.0,5690.0,71.143,50.754,1.097,15,50,2024-12-31
NOLSM32513263,3,Etching,315.0,1709.0,3644.0,5720.0,71.093,50.517,0.958,15,51,2024-12-31
NOLSM32513264,1,Etching,417.0,1468.0,3638.0,5732.0,71.331,50.55,0.959,15,52,2024-12-31
NOLSM32513265,2,Etching,172.0,1466.0,3643.0,5736.0,71.237,51.234,1.08,15,53,2024-12-31
NOLSM32513266,3,Etching,285.0,1390.0,3669.0,5729.0,71.235,50.902,1.231,15,54,2024-12-31
NOLSM32513267,3,Etching,363.0,1506.0,3640.0,5706.0,71.964,51.407,1.057,15,1,2024-12-31
NOLSM32513268,2,Etching,425.0,1525.0,3662.0,5722.0,70.116,51.253,1.069,15,2,2024-12-31
NOLSM32513269,1,Etching,309.0,1465.0,3664.0,5723.0,71.217,50.246,1.199,15,3,2024-12-31
NOLSM32513270,1,Etching,285.0,1596.0,3660.0,5741.0,69.275,50.619,1.117,15,4,2024-12-31
NOLSM32513271,3,Etching,306.0,1627.0,3670.0,5722.0,69.58,51.079,1.107,15,5,2024-12-31
NOLSM32513272,3,Etching,448.0,1648.0,3654.0,5725.0,71.021,51.853,1.204,15,6,2024-12-31
NOLSM32513273,1,Etching,463.0,1247.0,3632.0,5726.0,70.359,52.123,0.974,15,7,2024-12-31
NOLSM32513274,1,Etching,250.0,1325.0,3688.0,5692.0,69.046,51.725,1.172,15,8,2024-12-31
NOLSM32513275,2,Etching,362.0,1709.0,3653.0,5732.0,70.813,51.76,1.109,15,9,2024-12-31
NOLSM32513276,3,Etching,348.0,1468.0,3649.0,5715.0,70.977,50.155,1.214,15,10,2024-12-31
NOLSM32513277,3,Etching,460.0,1466.0,3686.0,5714.0,69.063,50.23,0.959,15,11,2024-12-31
NOLSM32513278,2,Etching,263.0,1390.0,3660.0,5706.0,71.796,49.806,1.085,15,12,2024-12-31
NOLSM32513279,1,Etching,498.0,1561.0,3632.0,5724.0,70.166,50.67,1.184,15,13,2024-12-31
NOLSM32513280,1,Etching,192.0,1665.0,3671.0,5729.0,70.879,50.995,1.119,15,14,2024-12-31
NOLSM32513281,3,Etching,387.0,1573.0,3631.0,5718.0,71.621,51.215,1.153,15,15,2024-12-31
NOLSM32513282,3,Etching,450.0,1526.0,3642.0,5733.0,70.531,51.221,0.996,15,16,2024-12-31
NOLSM32513283,2,Etching,371.0,1481.0,3666.0,5727.0,69.886,51.164,0.867,15,17,2024-12-31
NOLSM32513284,1,Etching,277.0,1588.0,3700.0,5720.0,70.646,51.265,1.028,15,18,2024-12-31
NOLSM32513285,1,Etching,359.0,1441.0,3675.0,5716.0,71.698,50.188,1.002,15,19,2024-12-31
NOLSM32513286,2,Etching,343.0,1441.0,3660.0,5708.0,70.686,51.22,1.052,15,20,2024-12-31
NOLSM32513287,3,Etching,261.0,1402.0,3661.0,5699.0,70.249,49.95,1.021,15,21,2024-12-31
NOLSM32513288,3,Etching,244.0,1509.0,3647.0,5706.0,69.288,50.552,1.148,15,22,2024-12-31
NOLSM32513289,2,Etching,218.0,1576.0,3651.0,5690.0,70.827,50.837,0.932,15,23,2024-12-31
NOLSM32513290,1,Etching,315.0,1486.0,3644.0,5720.0,69.897,50.526,1.115,15,24,2024-12-31
NOLSM32513291,1,Etching,417.0,1456.0,3638.0,5732.0,69.153,50.577,1.12,15,25,2024-12-31
NOLSM32513292,3,Etching,172.0,1420.0,3643.0,5736.0,70.632,51.221,1.039,15,26,2024-12-31
NOLSM32513293,3,Etching,285.0,1506.0,3669.0,5729.0,72.137,50.248,1.091,15,27,2024-12-31
NOLSM32513294,1,Etching,230.0,1561.0,3685.0,5727.0,71.224,52.033,0.964,16,28,2025-01-01
NOLSM32513295,2,Etching,484.0,1665.0,3655.0,5694.0,71.121,53.162,0.895,16,29,2025-01-01
NOLSM32513296,3,Etching,316.0,1573.0,3625.0,5667.0,71.192,50.586,1.232,16,30,2025-01-01
NOLSM32513297,1,Etching,432.0,1526.0,3654.0,5731.0,71.37,51.852,1.222,16,31,2025-01-01
NOLSM32513298,2,Etching,316.0,1481.0,3646.0,5735.0,71.425,50.78,1.073,16,32,2025-01-01
NOLSM32513299,3,Etching,369.0,1588.0,3692.0,5721.0,70.672,50.774,1.003,16,33,2025-01-01
NOLSM32513300,1,Etching,489.0,1441.0,3657.0,5744.0,70.108,51.318,1.137,16,34,2025-01-01
NOLSM32513301,2,Etching,363.0,1441.0,3683.0,5698.0,70.313,51.232,0.926,16,35,2025-01-01
NOLSM32513302,3,Etching,276.0,1402.0,3681.0,5732.0,70.298,51.872,1.06,16,36,2025-01-01
NOLSM32513303,1,Etching,214.0,1456.0,3645.0,5727.0,71.673,51.498,1.077,16,37,2025-01-01
NOLSM32513304,2,Etching,319.0,1623.0,3671.0,5740.0,70.372,51.604,0.895,16,38,2025-01-01
NOLSM32513305,3,Etching,253.0,1438.0,3633.0,5720.0,71.124,50.892,1.065,16,39,2025-01-01
NOLSM32513306,1,Etching,385.0,1468.0,3667.0,5710.0,70.71,51.557,1.018,16,40,2025-01-01
NOLSM32513307,2,Etching,276.0,1487.0,3645.0,5713.0,71.828,50.578,0.902,16,41,2025-01-01
NOLSM32513308,3,Etching,292.0,1588.0,3680.0,5712.0,69.993,51.301,1.08,16,42,2025-01-01
NOLSM32513309,1,Etching,544.0,1318.0,3663.0,5727.0,71.305,51.361,0.907,16,43,2025-01-01
NOLSM32513310,2,Etching,298.0,1360.0,3682.0,5719.0,71.095,50.187,0.84,16,44,2025-01-01
NOLSM32513311,3,Etching,429.0,1577.0,3627.0,5706.0,72.283,51.348,1.044,16,45,2025-01-01
NOLSM32513312,1,Etching,625.0,1677.0,3661.0,5725.0,71.636,51.176,0.987,16,46,2025-01-01
NOLSM32513313,2,Etching,286.0,1501.0,3680.0,5747.0,69.704,50.957,1.018,16,47,2025-01-01
NOLSM32513314,3,Etching,321.0,1493.0,3639.0,5696.0,71.677,50.905,1.039,16,48,2025-01-01
NOLSM32513315,1,Etching,669.0,1543.0,3668.0,5720.0,70.79,50.266,1.094,16,49,2025-01-01
NOLSM32513316,2,Etching,219.0,1530.0,3634.0,5709.0,70.487,51.967,1.039,16,50,2025-01-01
NOLSM32513317,3,Etching,310.0,1630.0,3643.0,5703.0,71.05,50.791,1.128,16,51,2025-01-01
NOLSM32513318,1,Etching,186.0,1534.0,3636.0,5715.0,70.467,51.033,1.127,16,52,2025-01-01
NOLSM32513319,2,Etching,224.0,1432.0,3653.0,5720.0,70.497,51.747,0.88,16,53,2025-01-01
NOLSM32513320,3,Etching,464.0,1680.0,3656.0,5708.0,71.621,51.538,1.028,16,54,2025-01-01
NOLSM32513321,2,Etching,230.0,1634.0,3685.0,5727.0,71.989,51.595,1.054,16,1,2025-01-01
NOLSM32513322,1,Etching,484.0,1437.0,3655.0,5694.0,72.139,51.025,0.978,16,2,2025-01-01
NOLSM32513323,1,Etching,316.0,1505.0,3625.0,5667.0,72.581,51.893,1.187,16,3,2025-01-01
NOLSM32513324,2,Etching,432.0,1515.0,3654.0,5731.0,71.584,50.834,0.876,16,4,2025-01-01
NOLSM32513325,3,Etching,316.0,1564.0,3646.0,5735.0,70.843,50.123,1.053,16,5,2025-01-01
NOLSM32513326,3,Etching,369.0,1592.0,3692.0,5721.0,70.69,50.44,1.151,16,6,2025-01-01
NOLSM32513327,2,Etching,489.0,1557.0,3657.0,5744.0,70.002,51.513,1.216,16,7,2025-01-01
NOLSM32513328,1,Etching,363.0,1688.0,3683.0,5698.0,70.268,51.636,0.962,16,8,2025-01-01
NOLSM32513329,1,Etching,276.0,1465.0,3681.0,5732.0,70.396,51.486,1.092,16,9,2025-01-01
NOLSM32513330,2,Etching,214.0,1456.0,3645.0,5727.0,71.762,50.839,1.224,16,10,2025-01-01
NOLSM32513331,3,Etching,319.0,1623.0,3671.0,5740.0,70.415,51.861,0.953,16,11,2025-01-01
NOLSM32513332,3,Etching,253.0,1438.0,3633.0,5720.0,71.099,51.149,0.895,16,12,2025-01-01
NOLSM32513333,2,Etching,385.0,1468.0,3667.0,5710.0,70.703,50.342,1.254,16,13,2025-01-01
NOLSM32513334,1,Etching,276.0,1487.0,3645.0,5713.0,71.76,50.685,1.093,16,14,2025-01-01
NOLSM32513335,1,Etching,292.0,1588.0,3680.0,5712.0,69.628,51.562,0.913,16,15,2025-01-01
NOLSM32513336,2,Etching,544.0,1318.0,3663.0,5727.0,71.492,51.368,1.012,16,16,2025-01-01
NOLSM32513337,3,Etching,298.0,1360.0,3682.0,5719.0,71.135,50.17,1.156,16,17,2025-01-01
NOLSM32513338,2,Etching,429.0,1577.0,3627.0,5706.0,72.188,51.478,1.174,16,18,2025-01-01
NOLSM32513339,1,Etching,625.0,1677.0,3661.0,5725.0,71.879,51.374,0.822,16,19,2025-01-01
NOLSM32513340,1,Etching,286.0,1501.0,3680.0,5747.0,69.629,50.944,1.029,16,20,2025-01-01
NOLSM32513341,3,Etching,321.0,1493.0,3639.0,5696.0,71.697,50.816,1.07,16,21,2025-01-01
NOLSM32513342,3,Etching,669.0,1543.0,3668.0,5720.0,70.845,50.515,1.031,16,22,2025-01-01
NOLSM32513343,2,Etching,219.0,1530.0,3634.0,5709.0,70.451,52.056,0.991,16,23,2025-01-01
NOLSM32513344,1,Etching,310.0,1630.0,3643.0,5703.0,70.865,50.984,0.974,16,24,2025-01-01
NOLSM32513345,1,Etching,186.0,1534.0,3636.0,5715.0,70.665,51.24,1.139,16,25,2025-01-01
NOLSM32513346,2,Etching,224.0,1432.0,3653.0,5720.0,70.359,51.746,0.994,16,26,2025-01-01
NOLSM32513347,3,Etching,464.0,1680.0,3656.0,5708.0,71.763,51.371,1.016,16,27,2025-01-01
NOLSM32513348,1,Etching,383.0,1500.0,3677.0,5695.0,72.036,51.602,0.916,17,28,2025-01-02
NOLSM32513349,2,Etching,180.0,1663.0,3649.0,5714.0,71.293,51.185,1.135,17,29,2025-01-02
NOLSM32513350,3,Etching,335.0,1355.0,3620.0,5734.0,72.893,50.512,1.087,17,30,2025-01-02
NOLSM32513351,1,Etching,270.0,1372.0,3678.0,5709.0,71.946,51.767,0.752,17,31,2025-01-02
NOLSM32513352,2,Etching,197.0,1570.0,3648.0,5702.0,71.482,51.67,0.929,17,32,2025-01-02
NOLSM32513353,3,Etching,392.0,1522.0,3651.0,5696.0,70.395,50.915,0.949,17,33,2025-01-02
NOLSM32513354,1,Etching,557.0,1507.0,3653.0,5697.0,71.774,51.481,1.027,17,34,2025-01-02
NOLSM32513355,2,Etching,266.0,1360.0,3678.0,5709.0,69.301,51.44,1.082,17,35,2025-01-02
NOLSM32513356,3,Etching,471.0,1709.0,3667.0,5710.0,71.495,51.74,1.094,17,36,2025-01-02
NOLSM32513357,1,Etching,354.0,1468.0,3646.0,5708.0,71.473,50.656,1.163,17,37,2025-01-02
NOLSM32513358,2,Etching,424.0,1466.0,3672.0,5728.0,70.817,51.096,0.965,17,38,2025-01-02
NOLSM32513359,3,Etching,319.0,1390.0,3647.0,5737.0,70.929,51.136,0.946,17,39,2025-01-02
NOLSM32513360,1,Etching,360.0,1561.0,3662.0,5704.0,72.288,50.802,0.982,17,40,2025-01-02
NOLSM32513361,2,Etching,337.0,1665.0,3645.0,5727.0,71.665,50.399,1.021,17,41,2025-01-02
NOLSM32513362,3,Etching,506.0,1573.0,3621.0,5718.0,72.046,51.231,1.077,17,42,2025-01-02
NOLSM32513363,1,Etching,435.0,1526.0,3654.0,5751.0,70.889,52.055,0.984,17,43,2025-01-02
NOLSM32513364,2,Etching,337.0,1481.0,3639.0,5729.0,71.141,53.357,1.1,17,44,2025-01-02
NOLSM32513365,3,Etching,268.0,1588.0,3673.0,5694.0,70.645,50.622,1.095,17,45,2025-01-02
NOLSM32513366,1,Etching,398.0,1441.0,3668.0,5716.0,68.142,52.147,0.95,17,46,2025-01-02
NOLSM32513367,2,Etching,435.0,1441.0,3665.0,5689.0,73.34,50.782,1.055,17,47,2025-01-02
NOLSM32513368,3,Etching,337.0,1402.0,3656.0,5714.0,71.251,50.981,0.928,17,48,2025-01-02
NOLSM32513369,1,Etching,207.0,1517.0,3613.0,5723.0,70.226,51.309,1.053,17,49,2025-01-02
NOLSM32513370,2,Etching,298.0,1575.0,3682.0,5737.0,71.375,51.14,0.976,17,50,2025-01-02
NOLSM32513371,3,Etching,511.0,1487.0,3674.0,5688.0,72.31,51.928,1.011,17,51,2025-01-02
NOLSM32513372,1,Etching,291.0,1623.0,3667.0,5730.0,71.854,51.605,0.989,17,52,2025-01-02
NOLSM32513373,2,Etching,630.0,1205.0,3647.0,5706.0,70.61,51.516,0.9,17,53,2025-01-02
