No_Die,lithography_Chamber,Process 2-1,Line_CD,UV_type,Wavelength,Resolution,Energy_Exposure,Lot_Num,Wafer_Num,Datetime
NOLSM32513160,1,photo_li,53.514,H,405,541.668,104.93,13,2,2025-01-05
NOLSM32513161,2,photo_li,47.501,I,365,532.226,106.591,13,3,2025-01-05
NOLSM32513162,3,photo_li,32.689,G,436,537.547,108.782,13,4,2025-01-05
NOLSM32513163,1,photo_li,57.371,H,405,521.999,109.873,13,5,2025-01-05
NOLSM32513164,2,photo_li,4.55,I,365,539.626,108.0,13,6,2025-01-05
NOLSM32513165,3,photo_li,59.547,I,365,482.818,107.145,13,7,2025-01-05
NOLSM32513166,1,photo_li,26.823,G,436,526.432,105.812,13,8,2025-01-05
NOLSM32513167,2,photo_li,23.358,I,365,507.601,104.976,13,9,2025-01-05
NOLSM32513168,3,photo_li,59.944,G,436,509.11,106.666,13,10,2025-01-05
NOLSM32513169,1,photo_li,54.003,G,436,492.636,110.799,13,11,2025-01-05
NOLSM32513170,2,photo_li,20.489,G,436,547.251,110.787,13,12,2025-01-05
NOLSM32513171,3,photo_li,49.757,H,405,511.373,105.042,13,13,2025-01-05
NOLSM32513172,1,photo_li,36.531,H,405,511.136,107.862,13,14,2025-01-05
NOLSM32513173,2,photo_li,32.965,G,436,515.668,109.622,13,15,2025-01-05
NOLSM32513174,3,photo_li,46.906,I,365,532.312,105.091,13,16,2025-01-05
NOLSM32513175,1,photo_li,66.337,H,405,509.397,108.481,13,17,2025-01-05
NOLSM32513176,2,photo_li,33.185,G,436,551.583,109.65,13,18,2025-01-05
NOLSM32513177,3,photo_li,42.238,I,365,512.001,108.405,13,19,2025-01-05
NOLSM32513178,1,photo_li,55.359,H,405,515.832,108.528,13,20,2025-01-05
NOLSM32513179,3,photo_li,58.288,H,405,492.509,108.327,13,21,2025-01-05
NOLSM32513180,1,photo_li,46.937,I,365,520.078,108.339,13,22,2025-01-05
NOLSM32513181,2,photo_li,43.115,I,365,498.948,109.596,13,23,2025-01-05
NOLSM32513182,3,photo_li,39.753,I,365,519.031,108.447,13,24,2025-01-05
NOLSM32513183,1,photo_li,48.868,H,405,512.464,109.374,13,25,2025-01-05
NOLSM32513184,2,photo_li,50.998,I,365,522.431,110.375,13,26,2025-01-05
NOLSM32513185,3,photo_li,49.315,H,405,509.107,108.208,13,27,2025-01-05
NOLSM32513186,1,photo_li,27.537,G,436,521.676,108.554,14,28,2024-12-30
NOLSM32513187,1,photo_li,44.742,H,405,526.5,106.098,14,29,2024-12-30
NOLSM32513188,1,photo_li,29.349,I,365,543.017,109.059,14,30,2024-12-30
NOLSM32513189,1,photo_li,56.837,I,365,513.634,109.315,14,31,2024-12-30
NOLSM32513190,1,photo_li,61.55,H,405,543.921,105.069,14,32,2024-12-30
NOLSM32513191,1,photo_li,26.067,I,365,520.922,109.08,14,33,2024-12-30
NOLSM32513192,1,photo_li,43.272,H,405,527.092,107.963,14,34,2024-12-30
NOLSM32513193,1,photo_li,23.04,G,436,528.776,107.386,14,35,2024-12-30
NOLSM32513194,1,photo_li,59.29,H,405,529.681,107.518,14,36,2024-12-30
NOLSM32513195,2,photo_li,24.278,H,405,476.678,108.834,14,37,2024-12-30
NOLSM32513196,2,photo_li,53.586,H,405,527.35,106.77,14,38,2024-12-30
NOLSM32513197,2,photo_li,33.887,G,436,527.374,105.471,14,39,2024-12-30
NOLSM32513198,2,photo_li,48.801,H,405,500.968,106.786,14,40,2024-12-30
NOLSM32513199,2,photo_li,40.992,G,436,489.339,107.215,14,41,2024-12-30
NOLSM32513200,2,photo_li,38.363,G,436,539.577,106.058,14,42,2024-12-30
NOLSM32513201,2,photo_li,58.968,I,365,572.5,108.959,14,43,2024-12-30
NOLSM32513202,2,photo_li,33.663,H,405,541.102,108.892,14,44,2024-12-30
NOLSM32513203,2,photo_li,32.807,G,436,508.053,109.218,14,45,2024-12-30
NOLSM32513204,3,photo_li,56.701,H,405,479.703,106.689,14,46,2024-12-30
NOLSM32513205,3,photo_li,17.902,G,436,471.72,111.479,14,47,2024-12-30
NOLSM32513206,3,photo_li,43.183,I,365,537.042,107.526,14,48,2024-12-30
NOLSM32513207,3,photo_li,55.449,H,405,518.154,107.55,14,49,2024-12-30
NOLSM32513208,3,photo_li,33.704,G,436,525.39,106.41,14,50,2024-12-30
NOLSM32513209,3,photo_li,39.038,G,436,510.887,106.272,14,51,2024-12-30
NOLSM32513210,3,photo_li,36.537,G,436,496.481,112.072,14,52,2024-12-30
NOLSM32513211,3,photo_li,44.83,H,405,512.727,111.476,14,53,2024-12-30
NOLSM32513212,3,photo_li,50.571,I,365,528.867,107.702,14,54,2024-12-30
NOLSM32513213,1,photo_li,27.549,G,436,521.594,108.702,14,1,2024-12-30
NOLSM32513214,2,photo_li,44.691,H,405,526.323,106.228,14,2,2024-12-30
NOLSM32513215,3,photo_li,29.412,I,365,543.078,109.008,14,3,2024-12-30
NOLSM32513216,1,photo_li,56.877,I,365,513.357,109.263,14,4,2024-12-30
NOLSM32513217,2,photo_li,61.43,H,405,543.943,105.002,14,5,2024-12-30
NOLSM32513218,3,photo_li,26.001,I,365,521.107,108.986,14,6,2024-12-30
NOLSM32513219,2,photo_li,43.219,H,405,526.99,108.079,14,7,2024-12-30
NOLSM32513220,3,photo_li,23.089,G,436,528.92,107.252,14,8,2024-12-30
NOLSM32513221,1,photo_li,59.339,H,405,529.539,107.397,14,9,2024-12-30
NOLSM32513222,2,photo_li,24.161,H,405,476.537,109.0,14,10,2024-12-30
NOLSM32513223,3,photo_li,53.691,H,405,527.287,106.939,14,11,2024-12-30
NOLSM32513224,1,photo_li,33.921,G,436,527.197,105.393,14,12,2024-12-30
NOLSM32513225,2,photo_li,48.73,H,405,500.89,106.973,14,13,2024-12-30
NOLSM32513226,3,photo_li,40.904,G,436,489.061,107.25,14,14,2024-12-30
NOLSM32513227,1,photo_li,38.275,G,436,539.544,106.329,14,15,2024-12-30
NOLSM32513228,2,photo_li,59.1,I,365,572.52,109.056,14,16,2024-12-30
NOLSM32513229,3,photo_li,33.547,H,405,541.264,109.012,14,17,2024-12-30
NOLSM32513230,1,photo_li,32.426,G,436,508.01,109.277,14,18,2024-12-30
NOLSM32513231,2,photo_li,56.522,H,405,479.615,106.761,14,19,2024-12-30
NOLSM32513232,3,photo_li,17.959,G,436,471.765,111.482,14,20,2024-12-30
NOLSM32513233,1,photo_li,43.059,I,365,537.05,107.644,14,21,2024-12-30
NOLSM32513234,2,photo_li,55.407,H,405,518.028,107.452,14,22,2024-12-30
NOLSM32513235,1,photo_li,33.489,G,436,525.481,106.456,14,23,2024-12-30
NOLSM32513236,3,photo_li,39.289,G,436,511.0,106.289,14,24,2024-12-30
NOLSM32513237,1,photo_li,36.642,G,436,496.261,111.91,14,25,2024-12-30
NOLSM32513238,2,photo_li,44.964,H,405,512.657,111.575,14,26,2024-12-30
NOLSM32513239,3,photo_li,50.412,I,365,529.105,107.618,14,27,2024-12-30
NOLSM32513240,1,photo_li,42.852,I,365,548.721,106.817,15,28,2024-12-31
NOLSM32513241,1,photo_li,45.252,H,405,533.067,109.602,15,29,2024-12-31
NOLSM32513242,1,photo_li,56.148,I,365,526.793,108.295,15,30,2024-12-31
NOLSM32513243,1,photo_li,50.09,I,365,510.497,108.71,15,31,2024-12-31
NOLSM32513244,1,photo_li,45.883,H,405,497.744,108.821,15,32,2024-12-31
NOLSM32513245,1,photo_li,49.428,G,436,545.396,109.634,15,33,2024-12-31
NOLSM32513246,1,photo_li,36.756,H,405,549.958,107.88,15,34,2024-12-31
NOLSM32513247,1,photo_li,30.686,H,405,500.363,108.34,15,35,2024-12-31
NOLSM32513248,1,photo_li,40.764,H,405,530.026,108.636,15,36,2024-12-31
NOLSM32513249,2,photo_li,24.513,H,405,500.492,105.327,15,37,2024-12-31
NOLSM32513250,2,photo_li,29.064,G,436,492.106,108.447,15,38,2024-12-31
NOLSM32513251,2,photo_li,37.449,H,405,554.855,108.375,15,39,2024-12-31
NOLSM32513252,2,photo_li,55.808,G,436,483.699,109.738,15,40,2024-12-31
NOLSM32513253,2,photo_li,49.61,I,365,538.996,106.92,15,41,2024-12-31
NOLSM32513254,2,photo_li,45.177,H,405,540.243,107.984,15,42,2024-12-31
NOLSM32513255,2,photo_li,31.461,I,365,525.373,107.788,15,43,2024-12-31
NOLSM32513256,2,photo_li,46.522,G,436,506.174,108.035,15,44,2024-12-31
NOLSM32513257,2,photo_li,37.324,G,436,526.091,107.23,15,45,2024-12-31
NOLSM32513258,3,photo_li,32.934,H,405,514.785,109.37,15,46,2024-12-31
NOLSM32513259,3,photo_li,41.796,I,365,476.998,106.232,15,47,2024-12-31
NOLSM32513260,3,photo_li,25.283,I,365,516.227,108.166,15,48,2024-12-31
NOLSM32513261,3,photo_li,51.564,I,365,516.235,107.693,15,49,2024-12-31
NOLSM32513262,3,photo_li,45.571,H,405,494.649,107.074,15,50,2024-12-31
NOLSM32513263,3,photo_li,38.98,G,436,528.857,106.606,15,51,2024-12-31
NOLSM32513264,3,photo_li,41.052,H,405,519.244,109.194,15,52,2024-12-31
NOLSM32513265,3,photo_li,58.671,I,365,462.012,104.992,15,53,2024-12-31
NOLSM32513266,3,photo_li,30.422,G,436,491.17,109.725,15,54,2024-12-31
NOLSM32513267,1,photo_li,42.842,I,365,548.901,106.9,15,1,2024-12-31
NOLSM32513268,2,photo_li,45.2,H,405,533.104,109.314,15,2,2024-12-31
NOLSM32513269,3,photo_li,56.088,I,365,526.803,108.287,15,3,2024-12-31
NOLSM32513270,1,photo_li,50.272,I,365,510.769,108.64,15,4,2024-12-31
NOLSM32513271,3,photo_li,45.973,H,405,497.701,108.853,15,5,2024-12-31
NOLSM32513272,1,photo_li,49.003,G,436,545.332,109.285,15,6,2024-12-31
NOLSM32513273,3,photo_li,36.682,H,405,549.94,107.822,15,7,2024-12-31
NOLSM32513274,1,photo_li,30.533,H,405,500.204,108.351,15,8,2024-12-31
NOLSM32513275,2,photo_li,40.935,H,405,530.164,108.535,15,9,2024-12-31
NOLSM32513276,3,photo_li,24.695,H,405,500.542,105.478,15,10,2024-12-31
NOLSM32513277,1,photo_li,29.18,G,436,492.254,108.131,15,11,2024-12-31
NOLSM32513278,2,photo_li,37.508,H,405,554.414,108.392,15,12,2024-12-31
NOLSM32513279,3,photo_li,55.815,G,436,483.754,109.659,15,13,2024-12-31
NOLSM32513280,1,photo_li,49.703,I,365,538.918,106.917,15,14,2024-12-31
NOLSM32513281,3,photo_li,45.332,H,405,540.119,107.722,15,15,2024-12-31
NOLSM32513282,1,photo_li,31.416,I,365,525.177,107.895,15,16,2024-12-31
NOLSM32513283,2,photo_li,46.41,G,436,506.024,107.851,15,17,2024-12-31
NOLSM32513284,3,photo_li,37.309,G,436,526.156,107.34,15,18,2024-12-31
NOLSM32513285,1,photo_li,32.841,H,405,514.897,109.53,15,19,2024-12-31
NOLSM32513286,2,photo_li,42.077,I,365,476.783,106.139,15,20,2024-12-31
NOLSM32513287,3,photo_li,25.197,I,365,516.435,108.189,15,21,2024-12-31
NOLSM32513288,1,photo_li,51.662,I,365,516.009,107.849,15,22,2024-12-31
NOLSM32513289,2,photo_li,45.26,H,405,494.722,107.408,15,23,2024-12-31
NOLSM32513290,3,photo_li,39.238,G,436,528.878,106.733,15,24,2024-12-31
NOLSM32513291,1,photo_li,41.322,H,405,519.528,109.247,15,25,2024-12-31
NOLSM32513292,3,photo_li,58.655,I,365,461.847,104.81,15,26,2024-12-31
NOLSM32513293,1,photo_li,30.192,G,436,491.219,109.432,15,27,2024-12-31
NOLSM32513294,1,photo_li,40.071,G,436,530.872,107.061,16,28,2025-01-01
NOLSM32513295,1,photo_li,48.399,H,405,500.191,108.611,16,29,2025-01-01
NOLSM32513296,1,photo_li,42.918,I,365,545.173,104.682,16,30,2025-01-01
NOLSM32513297,1,photo_li,38.027,H,405,522.643,106.514,16,31,2025-01-01
NOLSM32513298,1,photo_li,36.615,I,365,525.558,104.143,16,32,2025-01-01
NOLSM32513299,1,photo_li,51.624,H,405,506.848,107.368,16,33,2025-01-01
NOLSM32513300,1,photo_li,37.928,H,405,487.186,109.122,16,34,2025-01-01
NOLSM32513301,1,photo_li,66.19,H,405,513.228,108.322,16,35,2025-01-01
NOLSM32513302,1,photo_li,57.1,H,405,516.008,107.905,16,36,2025-01-01
NOLSM32513303,2,photo_li,32.105,I,365,507.775,108.011,16,37,2025-01-01
NOLSM32513304,2,photo_li,46.254,H,405,548.328,108.43,16,38,2025-01-01
NOLSM32513305,2,photo_li,59.887,G,436,493.955,107.897,16,39,2025-01-01
NOLSM32513306,2,photo_li,25.964,I,365,494.239,105.895,16,40,2025-01-01
NOLSM32513307,2,photo_li,38.679,H,405,503.606,108.754,16,41,2025-01-01
NOLSM32513308,2,photo_li,51.29,H,405,493.612,107.918,16,42,2025-01-01
NOLSM32513309,2,photo_li,39.8,I,365,528.149,109.754,16,43,2025-01-01
NOLSM32513310,2,photo_li,50.897,H,405,534.273,108.77,16,44,2025-01-01
NOLSM32513311,2,photo_li,49.486,G,436,495.132,108.089,16,45,2025-01-01
NOLSM32513312,3,photo_li,35.845,I,365,564.478,111.477,16,46,2025-01-01
NOLSM32513313,3,photo_li,50.354,G,436,519.337,110.105,16,47,2025-01-01
NOLSM32513314,3,photo_li,34.716,G,436,504.276,108.043,16,48,2025-01-01
NOLSM32513315,3,photo_li,51.871,I,365,516.544,105.175,16,49,2025-01-01
NOLSM32513316,3,photo_li,36.429,G,436,509.215,107.594,16,50,2025-01-01
NOLSM32513317,3,photo_li,48.534,I,365,510.499,106.435,16,51,2025-01-01
NOLSM32513318,3,photo_li,47.44,G,436,520.187,106.483,16,52,2025-01-01
NOLSM32513319,3,photo_li,53.073,H,405,514.825,108.653,16,53,2025-01-01
NOLSM32513320,3,photo_li,34.299,G,436,513.739,107.147,16,54,2025-01-01
NOLSM32513321,2,photo_li,40.028,G,436,530.692,107.238,16,1,2025-01-01
NOLSM32513322,3,photo_li,48.251,H,405,500.115,108.607,16,2,2025-01-01
NOLSM32513323,1,photo_li,42.886,I,365,545.095,104.945,16,3,2025-01-01
NOLSM32513324,2,photo_li,38.143,H,405,522.805,106.575,16,4,2025-01-01
NOLSM32513325,3,photo_li,36.572,I,365,525.57,104.109,16,5,2025-01-01
NOLSM32513326,1,photo_li,51.624,H,405,506.791,107.363,16,6,2025-01-01
NOLSM32513327,2,photo_li,37.844,H,405,487.128,109.019,16,7,2025-01-01
NOLSM32513328,3,photo_li,66.138,H,405,513.256,108.374,16,8,2025-01-01
NOLSM32513329,1,photo_li,57.146,H,405,516.015,108.083,16,9,2025-01-01
NOLSM32513330,2,photo_li,32.072,I,365,507.867,107.854,16,10,2025-01-01
NOLSM32513331,3,photo_li,46.258,H,405,548.469,108.622,16,11,2025-01-01
NOLSM32513332,1,photo_li,59.95,G,436,493.764,107.795,16,12,2025-01-01
NOLSM32513333,2,photo_li,25.933,I,365,494.461,105.818,16,13,2025-01-01
NOLSM32513334,3,photo_li,38.642,H,405,503.466,108.872,16,14,2025-01-01
NOLSM32513335,1,photo_li,51.248,H,405,493.874,107.832,16,15,2025-01-01
NOLSM32513336,2,photo_li,39.985,I,365,528.022,109.882,16,16,2025-01-01
NOLSM32513337,1,photo_li,50.868,H,405,534.266,108.935,16,17,2025-01-01
NOLSM32513338,2,photo_li,49.424,G,436,495.306,107.936,16,18,2025-01-01
NOLSM32513339,3,photo_li,35.719,I,365,564.246,111.446,16,19,2025-01-01
NOLSM32513340,1,photo_li,50.408,G,436,519.473,110.025,16,20,2025-01-01
NOLSM32513341,3,photo_li,34.844,G,436,504.346,108.213,16,21,2025-01-01
NOLSM32513342,1,photo_li,51.61,I,365,516.647,104.99,16,22,2025-01-01
NOLSM32513343,2,photo_li,36.299,G,436,509.249,107.875,16,23,2025-01-01
NOLSM32513344,3,photo_li,48.708,I,365,510.477,106.392,16,24,2025-01-01
NOLSM32513345,1,photo_li,47.672,G,436,520.155,106.515,16,25,2025-01-01
NOLSM32513346,2,photo_li,53.224,H,405,514.833,108.773,16,26,2025-01-01
NOLSM32513347,3,photo_li,34.309,G,436,513.484,107.14,16,27,2025-01-01
NOLSM32513348,1,photo_li,23.094,G,436,513.791,107.946,17,28,2025-01-02
NOLSM32513349,1,photo_li,38.021,H,405,509.361,108.608,17,29,2025-01-02
NOLSM32513350,1,photo_li,36.34,H,405,519.102,108.428,17,30,2025-01-02
NOLSM32513351,1,photo_li,28.501,G,436,536.48,105.951,17,31,2025-01-02
NOLSM32513352,1,photo_li,37.719,G,436,540.01,106.798,17,32,2025-01-02
NOLSM32513353,1,photo_li,41.709,H,405,527.088,109.278,17,33,2025-01-02
NOLSM32513354,1,photo_li,59.014,G,436,570.772,109.037,17,34,2025-01-02
NOLSM32513355,1,photo_li,44.803,H,405,523.521,110.313,17,35,2025-01-02
NOLSM32513356,1,photo_li,40.018,G,436,513.304,109.289,17,36,2025-01-02
NOLSM32513357,2,photo_li,49.824,G,436,543.211,107.607,17,37,2025-01-02
NOLSM32513358,2,photo_li,48.798,H,405,530.616,108.676,17,38,2025-01-02
NOLSM32513359,2,photo_li,22.84,G,436,441.705,109.61,17,39,2025-01-02
NOLSM32513360,2,photo_li,47.064,H,405,507.075,109.076,17,40,2025-01-02
NOLSM32513361,2,photo_li,48.125,G,436,502.795,109.042,17,41,2025-01-02
NOLSM32513362,2,photo_li,17.671,H,405,513.702,107.231,17,42,2025-01-02
NOLSM32513363,2,photo_li,26.173,I,365,476.776,108.234,17,43,2025-01-02
NOLSM32513364,2,photo_li,57.12,G,436,510.86,108.707,17,44,2025-01-02
NOLSM32513365,2,photo_li,55.994,H,405,476.67,108.463,17,45,2025-01-02
NOLSM32513366,3,photo_li,22.489,I,365,503.826,105.122,17,46,2025-01-02
NOLSM32513367,3,photo_li,30.0,G,436,534.337,109.689,17,47,2025-01-02
NOLSM32513368,3,photo_li,28.166,H,405,547.785,108.013,17,48,2025-01-02
NOLSM32513369,3,photo_li,41.93,I,365,496.294,108.169,17,49,2025-01-02
NOLSM32513370,3,photo_li,48.811,G,436,495.218,107.15,17,50,2025-01-02
NOLSM32513371,3,photo_li,55.955,I,365,534.807,107.138,17,51,2025-01-02
NOLSM32513372,3,photo_li,30.917,H,405,515.7,107.55,17,52,2025-01-02
NOLSM32513373,3,photo_li,31.055,I,365,529.569,108.501,17,53,2025-01-02
NOLSM32513374,3,photo_li,37.799,G,436,486.348,108.461,17,54,2025-01-02
NOLSM32513375,1,photo_li,23.103,G,436,513.623,107.993,17,1,2025-01-02
NOLSM32513376,2,photo_li,37.886,H,405,509.211,108.372,17,2,2025-01-02
NOLSM32513377,3,photo_li,36.297,H,405,518.951,108.445,17,3,2025-01-02
NOLSM32513378,1,photo_li,28.622,G,436,536.772,105.848,17,4,2025-01-02
NOLSM32513379,2,photo_li,37.79,G,436,539.802,106.765,17,5,2025-01-02
NOLSM32513380,3,photo_li,41.613,H,405,527.123,109.162,17,6,2025-01-02
NOLSM32513381,2,photo_li,59.029,G,436,571.009,109.24,17,7,2025-01-02
NOLSM32513382,3,photo_li,44.572,H,405,523.419,110.37,17,8,2025-01-02
NOLSM32513383,1,photo_li,39.837,G,436,513.451,109.235,17,9,2025-01-02
NOLSM32513384,3,photo_li,49.972,G,436,543.417,107.67,17,10,2025-01-02
NOLSM32513385,1,photo_li,48.683,H,405,530.48,108.609,17,11,2025-01-02
NOLSM32513386,2,photo_li,22.86,G,436,441.849,109.465,17,12,2025-01-02
NOLSM32513387,3,photo_li,46.996,H,405,506.925,108.98,17,13,2025-01-02
NOLSM32513388,1,photo_li,48.064,G,436,502.767,109.079,17,14,2025-01-02
NOLSM32513389,2,photo_li,17.523,H,405,513.689,107.383,17,15,2025-01-02
NOLSM32513390,3,photo_li,26.193,I,365,477.056,108.151,17,16,2025-01-02
NOLSM32513391,1,photo_li,56.871,G,436,510.828,108.961,17,17,2025-01-02
NOLSM32513392,3,photo_li,56.03,H,405,476.585,108.405,17,18,2025-01-02
NOLSM32513393,1,photo_li,22.425,I,365,503.809,105.227,17,19,2025-01-02
NOLSM32513394,3,photo_li,29.917,G,436,534.055,109.735,17,20,2025-01-02
NOLSM32513395,1,photo_li,28.382,H,405,547.924,107.917,17,21,2025-01-02
NOLSM32513396,2,photo_li,41.723,I,365,496.341,108.12,17,22,2025-01-02
NOLSM32513397,3,photo_li,48.833,G,436,495.081,107.318,17,23,2025-01-02
NOLSM32513398,1,photo_li,56.032,I,365,534.71,107.121,17,24,2025-01-02
NOLSM32513399,3,photo_li,30.822,H,405,515.664,107.366,17,25,2025-01-02
NOLSM32513400,1,photo_li,31.102,I,365,529.783,108.447,17,26,2025-01-02
NOLSM32513401,2,photo_li,37.99,G,436,486.373,108.202,17,27,2025-01-02
NOLSM32513402,1,photo_li,25.52,G,436,542.716,106.34,18,28,2025-01-03
NOLSM32513403,1,photo_li,22.361,G,436,559.244,107.857,18,29,2025-01-03
NOLSM32513404,1,photo_li,19.359,G,436,554.458,107.229,18,30,2025-01-03
NOLSM32513405,1,photo_li,29.323,G,436,556.999,107.788,18,31,2025-01-03
NOLSM32513406,1,photo_li,13.795,G,436,553.42,107.296,18,32,2025-01-03
NOLSM32513407,1,photo_li,19.756,G,436,553.095,107.777,18,33,2025-01-03
NOLSM32513408,1,photo_li,29.647,G,436,550.831,108.521,18,34,2025-01-03
NOLSM32513409,1,photo_li,17.195,G,436,548.56,107.872,18,35,2025-01-03
NOLSM32513410,1,photo_li,17.385,G,436,547.2,107.453,18,36,2025-01-03
NOLSM32513411,2,photo_li,23.054,G,436,548.683,108.259,18,37,2025-01-03
NOLSM32513412,2,photo_li,24.387,G,436,554.884,108.409,18,38,2025-01-03
NOLSM32513413,2,photo_li,31.656,G,436,552.375,108.709,18,39,2025-01-03
NOLSM32513414,2,photo_li,36.737,G,436,556.362,108.862,18,40,2025-01-03
NOLSM32513415,2,photo_li,29.104,G,436,551.33,108.709,18,41,2025-01-03
NOLSM32513416,2,photo_li,36.702,G,436,556.639,109.507,18,42,2025-01-03
NOLSM32513417,2,photo_li,37.996,G,436,555.871,109.057,18,43,2025-01-03
NOLSM32513418,2,photo_li,31.403,G,436,550.71,108.948,18,44,2025-01-03
NOLSM32513419,2,photo_li,32.831,G,436,547.019,108.889,18,45,2025-01-03
NOLSM32513420,3,photo_li,29.789,G,436,550.471,108.783,18,46,2025-01-03
NOLSM32513421,3,photo_li,35.421,G,436,552.768,109.437,18,47,2025-01-03
NOLSM32513422,3,photo_li,39.407,G,436,546.179,109.464,18,48,2025-01-03
NOLSM32513423,3,photo_li,42.015,G,436,543.383,110.013,18,49,2025-01-03
NOLSM32513424,3,photo_li,31.506,G,436,544.943,109.091,18,50,2025-01-03
NOLSM32513425,3,photo_li,43.276,G,436,559.717,109.354,18,51,2025-01-03
NOLSM32513426,3,photo_li,35.893,G,436,560.23,109.195,18,52,2025-01-03
NOLSM32513427,3,photo_li,34.598,G,436,552.858,109.2,18,53,2025-01-03
NOLSM32513428,3,photo_li,45.493,G,436,553.032,109.907,18,54,2025-01-03
NOLSM32513429,3,photo_li,25.785,G,436,542.838,106.64,18,1,2025-01-03
NOLSM32513430,1,photo_li,22.44,G,436,559.382,107.759,18,2,2025-01-03
NOLSM32513431,2,photo_li,19.302,G,436,554.585,107.26,18,3,2025-01-03
NOLSM32513432,3,photo_li,29.255,G,436,557.062,107.709,18,4,2025-01-03
NOLSM32513433,1,photo_li,13.638,G,436,553.461,107.176,18,5,2025-01-03
NOLSM32513434,2,photo_li,19.643,G,436,552.985,107.491,18,6,2025-01-03
NOLSM32513435,3,photo_li,29.509,G,436,550.962,108.364,18,7,2025-01-03
NOLSM32513436,1,photo_li,17.216,G,436,548.432,107.854,18,8,2025-01-03
NOLSM32513437,2,photo_li,17.478,G,436,547.339,107.398,18,9,2025-01-03
NOLSM32513438,1,photo_li,22.761,G,436,548.673,108.021,18,10,2025-01-03
NOLSM32513439,2,photo_li,24.236,G,436,555.167,108.405,18,11,2025-01-03
NOLSM32513440,3,photo_li,31.612,G,436,552.464,108.923,18,12,2025-01-03
NOLSM32513441,1,photo_li,36.826,G,436,556.389,108.913,18,13,2025-01-03
NOLSM32513442,2,photo_li,29.297,G,436,551.176,108.56,18,14,2025-01-03
NOLSM32513443,3,photo_li,36.598,G,436,556.776,109.839,18,15,2025-01-03
NOLSM32513444,1,photo_li,38.042,G,436,555.738,109.021,18,16,2025-01-03
NOLSM32513445,3,photo_li,31.611,G,436,550.735,108.747,18,17,2025-01-03
NOLSM32513446,1,photo_li,32.658,G,436,546.906,108.806,18,18,2025-01-03
NOLSM32513447,2,photo_li,29.776,G,436,550.236,108.779,18,19,2025-01-03
NOLSM32513448,3,photo_li,35.36,G,436,552.534,109.418,18,20,2025-01-03
NOLSM32513449,1,photo_li,39.435,G,436,546.256,109.195,18,21,2025-01-03
NOLSM32513450,2,photo_li,42.067,G,436,543.297,110.058,18,22,2025-01-03
NOLSM32513451,3,photo_li,31.579,G,436,544.708,109.032,18,23,2025-01-03
NOLSM32513452,1,photo_li,43.312,G,436,559.76,109.18,18,24,2025-01-03
NOLSM32513453,2,photo_li,35.611,G,436,560.351,109.288,18,25,2025-01-03
