No_Die,photo_soft_Chamber,process 2,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Lot_Num,Wafer_Num,Datetime
NOLSM32513174,2,Photo,1.07,15.972,14.94,20.02,200.165,90.1,499.149,4088.035,5101.542,4.887,93.075,29.933,13,16,2025-01-05
NOLSM32513175,3,Photo,1.311,14.175,14.983,20.138,199.258,89.947,503.568,4043.028,5057.655,4.879,91.288,30.022,13,17,2025-01-05
NOLSM32513176,3,Photo,1.314,12.494,14.983,19.876,199.958,89.979,505.102,4054.049,4892.431,4.754,90.684,29.926,13,18,2025-01-05
NOLSM32513177,3,Photo,1.185,15.734,14.928,20.027,199.187,89.957,501.064,3988.708,5004.916,5.135,92.178,30.085,13,19,2025-01-05
NOLSM32513178,1,Photo,1.253,16.399,15.151,20.106,199.842,90.13,499.841,3983.719,5029.279,4.812,90.811,29.928,13,20,2025-01-05
NOLSM32513179,1,Photo,1.517,15.485,14.926,20.093,203.779,89.951,498.042,4015.401,4993.495,4.994,93.288,29.958,13,21,2025-01-05
NOLSM32513180,2,Photo,1.605,16.803,15.014,19.931,196.292,89.999,502.683,3973.93,4974.614,5.032,92.717,29.949,13,22,2025-01-05
NOLSM32513181,2,Photo,1.334,18.67,14.89,19.863,204.795,89.962,498.74,4082.555,5036.16,5.307,91.453,29.996,13,23,2025-01-05
NOLSM32513182,2,Photo,0.542,16.025,14.91,20.053,197.367,89.989,501.935,4101.153,5013.347,4.866,94.046,30.076,13,24,2025-01-05
NOLSM32513183,3,Photo,0.654,18.51,14.906,20.021,196.675,90.114,506.414,4074.38,4974.654,4.927,94.733,30.191,13,25,2025-01-05
NOLSM32513184,3,Photo,1.662,14.235,14.991,20.195,196.598,90.07,495.004,4078.042,5011.785,5.119,91.809,29.902,13,26,2025-01-05
NOLSM32513185,3,Photo,1.21,15.872,14.926,20.079,202.263,89.851,496.425,4011.323,4985.646,5.248,94.037,29.989,13,27,2025-01-05
NOLSM32513186,2,Photo,1.222,15.744,15.048,20.021,196.567,90.038,504.272,4114.556,5041.761,5.168,89.547,29.991,14,28,2024-12-30
NOLSM32513187,2,Photo,0.987,11.834,14.938,20.072,199.092,89.931,500.205,4001.212,4993.383,5.049,91.392,29.994,14,29,2024-12-30
NOLSM32513188,2,Photo,1.268,15.067,14.986,19.984,198.012,90.066,500.375,4054.759,4885.4,5.025,90.954,30.003,14,30,2024-12-30
NOLSM32513189,2,Photo,0.96,16.12,15.102,19.978,201.02,89.892,494.729,3957.034,5029.153,4.85,88.994,29.953,14,31,2024-12-30
NOLSM32513190,2,Photo,1.638,15.823,14.969,19.786,199.542,90.068,499.126,4087.936,4989.207,4.939,92.028,29.922,14,32,2024-12-30
NOLSM32513191,2,Photo,1.475,12.375,14.793,19.867,202.961,89.985,501.206,4025.645,5066.849,4.836,92.587,30.17,14,33,2024-12-30
NOLSM32513192,2,Photo,1.28,14.638,15.02,20.127,200.252,90.029,493.441,4037.152,5042.442,4.978,93.25,30.14,14,34,2024-12-30
NOLSM32513193,2,Photo,0.85,23.524,14.873,20.0,199.479,89.979,497.33,4014.226,5048.696,4.836,92.64,29.839,14,35,2024-12-30
NOLSM32513194,2,Photo,2.144,14.716,15.102,20.141,200.96,89.983,499.351,3985.755,4929.282,5.13,90.217,30.155,14,36,2024-12-30
NOLSM32513195,2,Photo,1.34,20.091,15.129,20.013,197.109,89.89,503.841,4047.431,5081.611,4.946,91.822,29.823,14,37,2024-12-30
NOLSM32513196,2,Photo,0.856,18.573,14.854,20.16,194.746,90.087,501.999,3955.414,5052.658,4.903,95.993,30.019,14,38,2024-12-30
NOLSM32513197,2,Photo,0.456,15.875,14.939,20.074,201.069,90.031,499.439,4062.517,4922.259,5.126,94.192,29.797,14,39,2024-12-30
NOLSM32513198,2,Photo,1.821,17.291,15.172,20.097,198.352,90.046,500.613,4071.749,4978.119,5.163,96.082,30.11,14,40,2024-12-30
NOLSM32513199,2,Photo,1.473,16.019,15.127,19.939,198.912,89.861,499.871,3985.641,5152.57,5.125,91.373,30.206,14,41,2024-12-30
NOLSM32513200,2,Photo,0.926,19.178,14.981,20.112,195.032,90.023,501.565,3978.729,4975.076,4.987,92.044,30.045,14,42,2024-12-30
NOLSM32513201,2,Photo,1.681,18.819,15.105,20.131,196.299,90.037,502.574,4056.091,5115.137,5.206,92.793,29.942,14,43,2024-12-30
NOLSM32513202,2,Photo,1.168,13.677,15.025,20.095,204.492,90.022,507.224,4028.965,5086.479,5.039,92.504,30.016,14,44,2024-12-30
NOLSM32513203,2,Photo,1.015,18.708,14.735,19.989,204.832,90.013,501.247,3971.212,4934.566,5.147,92.596,30.087,14,45,2024-12-30
NOLSM32513204,2,Photo,1.884,20.612,15.212,20.071,200.382,90.055,503.392,4035.381,5084.256,5.051,92.835,29.949,14,46,2024-12-30
NOLSM32513205,2,Photo,2.023,11.258,14.955,20.063,200.391,89.861,501.416,3952.585,5003.04,4.835,90.031,29.999,14,47,2024-12-30
NOLSM32513206,2,Photo,1.859,15.2,14.88,19.979,199.067,90.179,500.951,3972.292,5074.93,4.899,92.052,29.988,14,48,2024-12-30
NOLSM32513207,2,Photo,1.041,12.621,14.914,20.038,195.752,90.049,501.285,4017.185,5009.311,5.045,92.744,30.298,14,49,2024-12-30
NOLSM32513208,2,Photo,1.41,19.788,14.967,19.939,203.769,90.106,497.229,4072.858,4976.332,4.966,92.497,30.143,14,50,2024-12-30
NOLSM32513209,2,Photo,0.869,15.879,15.027,20.143,203.246,89.986,500.164,4084.805,4888.495,4.938,89.031,30.006,14,51,2024-12-30
NOLSM32513210,2,Photo,0.902,17.524,15.075,19.925,205.832,90.088,501.464,4044.937,4953.724,4.908,93.593,30.111,14,52,2024-12-30
NOLSM32513211,2,Photo,1.642,16.409,15.133,19.959,200.513,89.84,496.46,4010.197,4883.292,4.922,92.19,30.162,14,53,2024-12-30
NOLSM32513212,2,Photo,1.763,14.58,14.914,20.04,198.85,90.025,501.61,4000.03,5049.859,4.97,92.835,30.115,14,54,2024-12-30
NOLSM32513213,1,Photo,1.341,15.645,14.971,19.902,196.426,89.959,500.153,4114.553,5041.604,5.232,89.607,29.943,14,1,2024-12-30
NOLSM32513214,1,Photo,0.874,11.977,15.165,19.995,198.998,89.992,502.481,4101.968,4993.427,4.888,91.272,30.025,14,2,2024-12-30
NOLSM32513215,1,Photo,1.433,15.257,14.873,19.888,198.301,89.892,501.034,4020.33,4885.546,4.995,91.058,30.101,14,3,2024-12-30
NOLSM32513216,2,Photo,1.112,16.049,15.233,19.969,201.02,89.896,500.999,4034.604,5029.254,4.879,88.769,30.018,14,4,2024-12-30
NOLSM32513217,2,Photo,1.803,16.075,14.828,20.096,199.426,90.046,503.01,4040.632,4989.225,4.735,91.916,29.864,14,5,2024-12-30
NOLSM32513218,2,Photo,1.386,12.524,14.723,19.978,202.953,89.812,508.907,4068.521,5066.945,4.957,92.368,30.102,14,6,2024-12-30
NOLSM32513219,3,Photo,1.09,14.512,15.469,19.848,200.152,89.966,501.402,4003.676,5042.61,4.839,93.336,30.187,14,7,2024-12-30
NOLSM32513220,3,Photo,0.685,23.661,15.106,20.101,199.149,89.775,497.333,4011.238,5048.556,4.872,92.513,30.044,14,8,2024-12-30
NOLSM32513221,1,Photo,2.084,14.517,14.99,19.836,200.922,90.057,499.111,4016.531,4929.431,5.096,90.256,29.928,14,9,2024-12-30
NOLSM32513222,1,Photo,1.45,20.212,15.129,19.801,197.169,90.005,503.84,4058.978,5081.633,4.812,91.645,30.065,14,10,2024-12-30
NOLSM32513223,1,Photo,0.791,18.421,14.968,19.962,194.794,89.984,501.87,3993.421,5052.769,4.677,95.871,29.981,14,11,2024-12-30
NOLSM32513224,2,Photo,0.449,15.872,15.012,19.876,200.893,90.027,499.153,4077.503,4922.153,5.099,94.148,30.031,14,12,2024-12-30
NOLSM32513225,2,Photo,1.645,19.539,14.85,20.082,198.269,90.11,500.6,4114.813,4978.185,5.023,96.157,30.104,14,13,2024-12-30
NOLSM32513226,2,Photo,1.25,15.633,14.972,19.962,198.777,90.119,499.849,3983.769,5152.43,5.031,91.335,29.89,14,14,2024-12-30
NOLSM32513227,3,Photo,0.595,16.378,14.766,20.128,195.031,89.926,504.655,4009.393,4975.333,4.865,92.066,30.222,14,15,2024-12-30
NOLSM32513228,3,Photo,1.456,15.177,15.027,19.881,196.584,89.897,495.985,4023.511,5114.908,5.159,92.523,29.887,14,16,2024-12-30
NOLSM32513229,3,Photo,1.593,17.7,15.022,19.934,204.49,89.915,499.303,3945.395,5086.32,4.823,92.506,30.208,14,17,2024-12-30
NOLSM32513230,1,Photo,1.15,10.925,14.961,20.068,204.967,90.011,504.435,3963.161,4934.759,4.971,92.78,29.976,14,18,2024-12-30
NOLSM32513231,1,Photo,1.169,16.168,14.958,20.2,200.313,89.904,499.095,3951.461,5084.471,5.112,93.028,30.006,14,19,2024-12-30
NOLSM32513232,1,Photo,1.84,13.761,15.072,20.134,200.38,90.172,497.307,4033.756,5002.859,5.043,90.029,29.737,14,20,2024-12-30
NOLSM32513233,2,Photo,0.48,14.181,14.95,19.971,199.146,90.044,500.652,4021.034,5074.689,5.074,92.026,30.014,14,21,2024-12-30
NOLSM32513234,2,Photo,2.008,15.513,14.988,19.889,195.723,90.161,504.797,4009.625,5009.418,4.981,92.603,30.093,14,22,2024-12-30
NOLSM32513235,3,Photo,1.307,15.85,15.013,19.999,203.847,90.083,499.579,4005.613,4976.401,4.982,92.498,30.032,14,23,2024-12-30
NOLSM32513236,3,Photo,1.468,14.654,15.121,20.08,203.163,89.906,499.114,4011.194,4888.226,4.981,89.405,29.979,14,24,2024-12-30
NOLSM32513237,1,Photo,1.561,14.135,14.865,20.114,205.82,89.901,500.784,3925.063,4953.64,4.971,93.639,29.932,14,25,2024-12-30
NOLSM32513238,1,Photo,0.662,16.103,15.274,20.031,200.717,89.956,502.371,3984.8,4883.183,5.043,92.242,30.128,14,26,2024-12-30
NOLSM32513239,1,Photo,0.652,14.457,15.053,19.994,198.985,90.142,500.405,4000.106,5049.753,5.192,92.621,30.089,14,27,2024-12-30
NOLSM32513240,3,Photo,1.457,13.445,14.935,19.78,204.325,89.906,495.971,4099.351,4950.832,5.1,92.886,30.167,15,28,2024-12-31
NOLSM32513241,3,Photo,0.725,15.538,15.221,19.969,198.621,90.088,500.376,4022.971,5061.49,4.978,94.17,30.095,15,29,2024-12-31
NOLSM32513242,3,Photo,0.611,16.225,15.115,19.96,200.252,90.072,502.367,4100.539,4995.923,5.154,94.642,30.062,15,30,2024-12-31
NOLSM32513243,3,Photo,1.856,15.342,14.819,20.071,199.534,90.072,503.578,4028.02,4922.349,5.248,93.745,30.162,15,31,2024-12-31
NOLSM32513244,3,Photo,1.848,17.088,14.852,19.895,201.875,90.013,498.442,4018.642,5123.645,5.117,90.455,29.964,15,32,2024-12-31
NOLSM32513245,3,Photo,1.875,17.455,14.815,19.78,204.062,89.993,495.388,4071.693,5006.82,5.029,93.584,29.924,15,33,2024-12-31
NOLSM32513246,3,Photo,1.012,15.002,15.143,19.921,199.722,89.998,494.518,4144.444,5026.937,4.876,92.609,29.853,15,34,2024-12-31
NOLSM32513247,3,Photo,1.467,16.407,15.088,19.901,202.433,90.17,498.311,4043.97,4870.716,4.942,90.313,30.15,15,35,2024-12-31
NOLSM32513248,3,Photo,1.003,17.1,14.967,20.019,200.672,90.026,505.869,3959.623,5034.991,5.205,92.233,29.941,15,36,2024-12-31
NOLSM32513249,3,Photo,0.9,16.646,14.967,19.991,200.776,89.926,502.465,3949.491,4999.164,5.008,89.189,29.95,15,37,2024-12-31
NOLSM32513250,3,Photo,1.417,20.469,14.992,19.917,200.284,90.039,502.847,4035.676,5015.852,5.084,91.034,29.901,15,38,2024-12-31
NOLSM32513251,3,Photo,1.608,17.079,15.144,20.107,200.653,90.138,502.047,3939.419,5034.212,5.075,91.989,29.967,15,39,2024-12-31
NOLSM32513252,3,Photo,1.375,13.421,14.851,20.055,199.429,90.106,499.274,3999.863,4981.13,4.968,93.258,29.887,15,40,2024-12-31
NOLSM32513253,3,Photo,0.563,15.945,14.914,19.746,206.798,89.842,505.718,3979.695,4978.668,4.88,90.276,30.138,15,41,2024-12-31
NOLSM32513254,3,Photo,0.789,15.654,14.904,20.146,202.62,89.945,494.92,4095.801,4958.642,5.101,92.158,30.15,15,42,2024-12-31
NOLSM32513255,3,Photo,0.995,15.456,14.949,20.024,196.059,90.161,504.237,4043.719,4926.562,5.066,91.752,30.065,15,43,2024-12-31
NOLSM32513256,3,Photo,1.077,14.443,14.943,20.079,198.226,90.104,500.014,3977.576,5105.751,4.81,91.111,30.057,15,44,2024-12-31
NOLSM32513257,3,Photo,1.939,15.904,15.072,20.055,200.427,89.988,500.438,4041.08,5036.7,4.836,92.21,30.135,15,45,2024-12-31
NOLSM32513258,3,Photo,0.975,12.84,14.951,20.045,200.394,89.958,494.945,4012.877,5035.933,5.077,93.681,30.149,15,46,2024-12-31
NOLSM32513259,3,Photo,1.709,15.436,15.074,19.918,196.677,89.913,499.378,4065.376,5054.384,5.106,90.751,29.997,15,47,2024-12-31
NOLSM32513260,3,Photo,1.274,11.888,15.046,20.081,199.086,89.972,500.97,4086.83,4924.577,5.133,89.187,30.133,15,48,2024-12-31
NOLSM32513261,3,Photo,0.537,17.309,15.021,20.046,198.111,89.983,493.114,4080.559,5064.67,5.228,89.921,30.039,15,49,2024-12-31
NOLSM32513262,3,Photo,0.636,16.192,14.96,19.958,200.88,89.947,498.522,4061.805,5037.04,4.898,93.047,30.058,15,50,2024-12-31
NOLSM32513263,3,Photo,1.348,18.821,14.9,19.901,201.766,90.03,501.865,4022.07,4937.453,5.06,92.222,30.029,15,51,2024-12-31
NOLSM32513264,3,Photo,2.455,18.763,14.884,19.977,196.748,90.051,501.034,3996.789,5110.684,5.03,89.514,29.918,15,52,2024-12-31
NOLSM32513265,3,Photo,1.158,13.76,14.93,20.154,201.956,89.904,498.207,4074.015,4971.197,5.122,89.336,30.014,15,53,2024-12-31
NOLSM32513266,3,Photo,1.329,18.622,14.958,19.966,200.212,89.979,501.999,4078.224,4942.685,5.1,92.285,29.936,15,54,2024-12-31
NOLSM32513267,2,Photo,1.273,13.322,14.901,19.924,204.42,90.009,500.089,4099.471,4950.744,5.123,92.765,30.062,15,1,2024-12-31
NOLSM32513268,2,Photo,1.67,15.336,14.849,19.925,198.4,89.898,497.656,4023.032,5061.691,4.902,93.952,29.989,15,2,2024-12-31
NOLSM32513269,2,Photo,1.12,16.236,14.951,19.916,200.155,89.998,503.272,4100.444,4995.713,4.79,94.702,30.024,15,3,2024-12-31
NOLSM32513270,3,Photo,1.081,15.431,14.603,19.986,199.493,89.96,500.02,4028.203,4922.544,5.063,93.947,29.928,15,4,2024-12-31
NOLSM32513271,3,Photo,1.302,17.133,14.857,19.951,201.789,90.114,502.942,4018.647,5123.659,4.922,90.503,29.931,15,5,2024-12-31
NOLSM32513272,1,Photo,1.452,17.58,14.977,20.209,204.124,90.053,502.309,4071.36,5006.61,5.023,93.303,30.083,15,6,2024-12-31
NOLSM32513273,1,Photo,1.705,14.95,14.922,19.933,199.889,89.908,496.849,4144.448,5026.877,4.799,92.501,29.971,15,7,2024-12-31
NOLSM32513274,2,Photo,0.737,16.68,14.9,20.067,202.46,90.044,500.846,4044.008,4870.608,4.953,90.328,29.944,15,8,2024-12-31
NOLSM32513275,2,Photo,2.028,16.891,15.04,20.035,200.715,90.048,496.812,3959.783,5035.13,5.05,92.092,30.08,15,9,2024-12-31
NOLSM32513276,2,Photo,1.166,16.698,14.889,19.948,200.81,90.063,499.538,3949.678,4999.271,4.945,89.254,29.939,15,10,2024-12-31
NOLSM32513277,3,Photo,1.356,20.425,15.12,19.982,200.07,89.936,500.815,4035.636,5015.743,4.982,91.017,29.94,15,11,2024-12-31
NOLSM32513278,3,Photo,1.117,16.868,15.014,20.201,200.57,89.903,498.732,3939.426,5034.081,4.891,91.962,29.948,15,12,2024-12-31
NOLSM32513279,3,Photo,1.4,13.652,15.114,19.955,199.578,90.037,501.072,3999.868,4980.877,4.989,93.145,29.924,15,13,2024-12-31
NOLSM32513280,1,Photo,0.646,16.124,15.002,20.185,206.926,89.924,494.551,3979.723,4978.701,4.948,90.401,30.011,15,14,2024-12-31
NOLSM32513281,1,Photo,1.363,15.616,15.006,20.204,202.816,89.954,502.94,4096.018,4958.625,4.949,91.966,29.859,15,15,2024-12-31
NOLSM32513282,2,Photo,1.217,15.462,14.86,19.993,195.861,90.021,499.141,4043.685,4926.304,4.986,91.755,30.012,15,16,2024-12-31
NOLSM32513283,2,Photo,1.173,14.5,15.033,20.034,198.349,89.89,495.253,3977.581,5105.504,5.111,91.134,30.009,15,17,2024-12-31
NOLSM32513284,2,Photo,1.805,15.715,15.154,20.045,200.209,89.93,509.077,4040.986,5036.638,4.765,92.05,29.961,15,18,2024-12-31
NOLSM32513285,3,Photo,1.219,12.719,14.751,20.19,200.27,90.103,505.371,4012.752,5035.765,5.198,93.67,30.168,15,19,2024-12-31
NOLSM32513286,3,Photo,2.032,15.375,14.947,20.133,196.405,90.046,498.119,4065.416,5054.512,4.773,90.968,29.875,15,20,2024-12-31
NOLSM32513287,3,Photo,1.24,11.769,15.015,20.223,199.173,90.0,496.842,4086.531,4924.674,4.902,89.27,30.094,15,21,2024-12-31
NOLSM32513288,1,Photo,0.455,19.473,15.195,19.996,198.207,90.05,498.766,4080.37,5064.7,5.075,89.848,29.944,15,22,2024-12-31
NOLSM32513289,1,Photo,0.405,15.432,14.664,19.766,200.979,89.959,498.453,4061.989,5037.14,4.842,92.937,30.013,15,23,2024-12-31
NOLSM32513290,1,Photo,1.417,9.662,15.065,20.037,201.88,90.11,501.65,4021.982,4937.533,5.219,92.042,30.105,15,24,2024-12-31
NOLSM32513291,2,Photo,2.261,18.031,14.911,20.011,196.588,89.887,501.086,3996.486,5110.582,4.882,89.427,29.848,15,25,2024-12-31
NOLSM32513292,2,Photo,1.026,13.289,14.979,20.014,201.851,90.234,498.305,4074.189,4971.098,5.204,89.365,30.064,15,26,2024-12-31
NOLSM32513293,3,Photo,1.323,16.038,14.992,19.952,200.37,89.961,501.722,4078.018,4942.736,4.901,92.177,30.031,15,27,2024-12-31
NOLSM32513294,1,Photo,1.339,20.824,15.037,20.053,198.435,89.983,502.576,4037.835,4928.349,5.17,93.19,30.046,16,28,2025-01-01
NOLSM32513295,1,Photo,0.308,11.315,14.822,20.13,202.197,89.787,507.217,4005.743,4989.016,4.956,92.22,30.051,16,29,2025-01-01
NOLSM32513296,1,Photo,1.474,15.351,15.124,20.151,199.449,90.197,501.119,4067.565,5083.909,5.088,91.547,29.929,16,30,2025-01-01
NOLSM32513297,1,Photo,1.137,12.472,15.085,19.905,201.153,90.02,503.299,4039.054,5104.878,4.944,89.455,30.103,16,31,2025-01-01
NOLSM32513298,1,Photo,0.852,19.783,15.108,20.093,200.052,90.127,501.56,3929.257,5075.55,4.909,91.215,30.016,16,32,2025-01-01
NOLSM32513299,1,Photo,0.949,15.932,14.955,20.025,207.237,89.941,501.003,4065.482,4944.07,4.876,92.461,30.136,16,33,2025-01-01
NOLSM32513300,1,Photo,1.371,17.512,15.015,19.971,201.163,89.943,501.539,4042.319,5118.962,5.191,91.325,30.093,16,34,2025-01-01
NOLSM32513301,1,Photo,1.324,16.375,15.201,19.928,199.786,90.094,497.071,4129.091,5012.982,5.187,90.73,29.992,16,35,2025-01-01
NOLSM32513302,1,Photo,1.391,13.196,15.185,19.973,200.948,89.996,500.025,4075.12,4972.139,4.81,90.706,30.038,16,36,2025-01-01
NOLSM32513303,1,Photo,1.327,14.212,14.967,19.998,199.152,90.005,501.301,4129.964,4954.909,5.282,91.925,30.085,16,37,2025-01-01
NOLSM32513304,1,Photo,1.123,15.307,14.809,20.073,203.096,90.083,496.417,4112.209,5003.534,4.981,92.066,30.13,16,38,2025-01-01
NOLSM32513305,1,Photo,0.888,12.059,15.08,19.784,196.201,89.93,501.627,4041.081,5103.983,5.139,91.144,29.904,16,39,2025-01-01
NOLSM32513306,1,Photo,1.334,17.478,14.977,20.064,200.851,89.941,496.015,4119.215,4884.087,5.027,91.33,29.976,16,40,2025-01-01
NOLSM32513307,1,Photo,0.836,17.084,14.851,20.171,200.442,89.995,500.482,3983.056,5095.418,5.128,90.904,30.003,16,41,2025-01-01
NOLSM32513308,1,Photo,1.651,17.037,15.084,20.161,202.108,89.827,502.26,4073.365,4886.183,5.196,92.092,30.045,16,42,2025-01-01
NOLSM32513309,1,Photo,1.128,17.142,14.938,19.86,204.003,90.069,503.492,3992.446,5045.425,4.976,92.365,30.195,16,43,2025-01-01
NOLSM32513310,1,Photo,0.706,13.552,14.908,19.931,202.763,90.103,498.588,4044.192,5005.554,5.05,93.131,30.177,16,44,2025-01-01
NOLSM32513311,1,Photo,1.083,14.803,15.15,20.036,202.308,89.888,495.436,4000.968,5021.397,4.956,92.491,29.937,16,45,2025-01-01
