No_Die,Ox_Chamber,process,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,Lot_Num,Wafer_Num,Datetime
NOLSM32513185,3,Oxidation,dry,1045.89,O2,44.88,0.27,89,715.9,13,27,2025-01-05
NOLSM32513186,2,Oxidation,wet,1002.56,H2O,28.55,0.16,136,709.9,14,28,2024-12-30
NOLSM32513187,2,Oxidation,dry,1095.74,O2,34.53,0.3,187,711.24,14,29,2024-12-30
NOLSM32513188,2,Oxidation,wet,1024.17,H2O,34.95,0.26,86,704.33,14,30,2024-12-30
NOLSM32513189,2,Oxidation,dry,1135.49,O2,32.53,0.21,73,703.92,14,31,2024-12-30
NOLSM32513190,2,Oxidation,dry,1120.25,O2,38.02,0.32,73,722.3,14,32,2024-12-30
NOLSM32513191,2,Oxidation,wet,1210.16,H2O,33.81,0.13,160,713.68,14,33,2024-12-30
NOLSM32513192,2,Oxidation,dry,1057.44,O2,29.15,0.35,32,712.62,14,34,2024-12-30
NOLSM32513193,2,Oxidation,wet,1102.82,H2O,50.04,0.36,32,714.47,14,35,2024-12-30
NOLSM32513194,2,Oxidation,dry,1007.57,O2,32.51,0.15,32,715.35,14,36,2024-12-30
NOLSM32513195,2,Oxidation,wet,1173.82,H2O,32.98,0.21,90,713.0,14,37,2024-12-30
NOLSM32513196,2,Oxidation,wet,1065.92,H2O,36.63,0.03,95,714.15,14,38,2024-12-30
NOLSM32513197,2,Oxidation,dry,1123.03,O2,30.02,0.05,115,710.07,14,39,2024-12-30
NOLSM32513198,2,Oxidation,wet,1106.36,H2O,45.7,0.04,56,710.52,14,40,2024-12-30
NOLSM32513199,2,Oxidation,wet,1194.72,H2O,21.14,0.23,107,711.65,14,41,2024-12-30
NOLSM32513200,2,Oxidation,wet,1045.37,H2O,32.34,0.32,44,710.04,14,42,2024-12-30
NOLSM32513201,2,Oxidation,dry,1135.79,O2,29.67,0.32,99,721.62,14,43,2024-12-30
NOLSM32513202,2,Oxidation,wet,1081.33,H2O,41.63,0.24,214,701.36,14,44,2024-12-30
NOLSM32513203,2,Oxidation,wet,1119.33,H2O,40.57,0.14,152,720.56,14,45,2024-12-30
NOLSM32513204,2,Oxidation,dry,1059.01,O2,32.7,0.21,104,710.05,14,46,2024-12-30
NOLSM32513205,2,Oxidation,dry,1048.37,O2,36.67,0.21,75,707.37,14,47,2024-12-30
NOLSM32513206,2,Oxidation,dry,1061.17,O2,36.88,0.36,118,699.3,14,48,2024-12-30
NOLSM32513207,2,Oxidation,wet,1234.47,H2O,36.01,0.12,127,689.67,14,49,2024-12-30
NOLSM32513208,2,Oxidation,wet,1141.37,H2O,38.58,0.1,100,699.69,14,50,2024-12-30
NOLSM32513209,2,Oxidation,dry,1275.1,O2,23.73,0.2,156,715.31,14,51,2024-12-30
NOLSM32513210,2,Oxidation,wet,1064.99,H2O,33.23,0.08,117,726.67,14,52,2024-12-30
NOLSM32513211,2,Oxidation,wet,1096.9,H2O,31.0,0.15,128,710.88,14,53,2024-12-30
NOLSM32513212,2,Oxidation,wet,1015.89,H2O,33.49,0.17,168,714.45,14,54,2024-12-30
NOLSM32513213,1,Oxidation,wet,1002.4,H2O,44.96,0.14,136,709.93,14,1,2024-12-30
NOLSM32513214,1,Oxidation,dry,1087.55,O2,32.47,0.22,187,711.55,14,2,2024-12-30
NOLSM32513215,1,Oxidation,wet,1005.04,H2O,33.06,0.32,86,704.45,14,3,2024-12-30
NOLSM32513216,1,Oxidation,dry,1126.03,O2,24.64,0.12,73,704.0,14,4,2024-12-30
NOLSM32513217,1,Oxidation,dry,1107.54,O2,32.04,0.17,73,722.25,14,5,2024-12-30
NOLSM32513218,1,Oxidation,wet,1205.79,H2O,36.94,0.09,160,706.78,14,6,2024-12-30
NOLSM32513219,1,Oxidation,dry,1038.62,O2,35.55,0.09,136,687.84,14,7,2024-12-30
NOLSM32513220,1,Oxidation,wet,1091.6,H2O,35.1,0.09,-6,704.11,14,8,2024-12-30
NOLSM32513221,2,Oxidation,dry,1006.24,O2,41.89,0.21,146,708.89,14,9,2024-12-30
NOLSM32513222,2,Oxidation,wet,1162.3,H2O,33.05,0.36,90,699.79,14,10,2024-12-30
NOLSM32513223,2,Oxidation,wet,1054.48,H2O,29.61,0.17,95,703.07,14,11,2024-12-30
NOLSM32513224,2,Oxidation,dry,1104.88,O2,30.02,0.23,115,697.41,14,12,2024-12-30
NOLSM32513225,2,Oxidation,wet,1105.37,H2O,45.7,0.17,56,709.78,14,13,2024-12-30
NOLSM32513226,2,Oxidation,wet,1176.49,H2O,20.92,0.24,107,709.7,14,14,2024-12-30
NOLSM32513227,2,Oxidation,wet,1028.75,H2O,32.18,0.28,44,714.03,14,15,2024-12-30
NOLSM32513228,2,Oxidation,dry,1123.49,O2,29.77,0.25,99,721.68,14,16,2024-12-30
NOLSM32513229,2,Oxidation,wet,1064.68,H2O,41.61,0.2,214,701.77,14,17,2024-12-30
NOLSM32513230,3,Oxidation,wet,1103.91,H2O,40.44,0.26,152,720.66,14,18,2024-12-30
NOLSM32513231,3,Oxidation,dry,1053.91,O2,32.65,0.14,104,709.91,14,19,2024-12-30
NOLSM32513232,3,Oxidation,dry,1028.14,O2,36.83,0.3,75,707.26,14,20,2024-12-30
NOLSM32513233,3,Oxidation,dry,1046.37,O2,36.76,0.3,118,699.67,14,21,2024-12-30
NOLSM32513234,3,Oxidation,wet,1219.43,H2O,35.76,0.12,127,689.71,14,22,2024-12-30
NOLSM32513235,3,Oxidation,wet,1139.5,H2O,38.51,0.3,100,699.7,14,23,2024-12-30
NOLSM32513236,3,Oxidation,dry,1269.15,O2,23.56,0.19,156,715.21,14,24,2024-12-30
NOLSM32513237,1,Oxidation,wet,1050.49,H2O,33.32,0.08,117,726.55,14,25,2024-12-30
NOLSM32513238,1,Oxidation,wet,1080.09,H2O,31.22,0.27,128,710.81,14,26,2024-12-30
NOLSM32513239,1,Oxidation,wet,998.98,H2O,33.35,0.29,168,714.59,14,27,2024-12-30
NOLSM32513240,2,Oxidation,dry,1102.56,O2,39.19,0.24,135,687.49,15,28,2024-12-31
NOLSM32513241,2,Oxidation,dry,1091.13,O2,35.19,0.24,93,715.15,15,29,2024-12-31
NOLSM32513242,2,Oxidation,wet,1144.04,H2O,32.02,0.29,103,695.43,15,30,2024-12-31
NOLSM32513243,2,Oxidation,wet,970.29,H2O,44.96,0.14,87,705.13,15,31,2024-12-31
NOLSM32513244,2,Oxidation,wet,976.85,H2O,43.58,0.24,103,706.97,15,32,2024-12-31
NOLSM32513245,2,Oxidation,dry,1134.33,O2,26.98,0.18,121,726.33,15,33,2024-12-31
NOLSM32513246,2,Oxidation,wet,1172.74,H2O,31.8,0.11,115,712.33,15,34,2024-12-31
NOLSM32513247,2,Oxidation,dry,984.11,O2,38.81,0.18,129,715.63,15,35,2024-12-31
NOLSM32513248,2,Oxidation,dry,1087.65,O2,32.93,0.26,118,710.51,15,36,2024-12-31
NOLSM32513249,2,Oxidation,dry,1158.39,O2,31.77,0.22,149,703.3,15,37,2024-12-31
NOLSM32513250,2,Oxidation,dry,977.15,O2,39.57,0.3,71,704.48,15,38,2024-12-31
NOLSM32513251,2,Oxidation,dry,1003.07,O2,32.91,0.09,86,711.13,15,39,2024-12-31
NOLSM32513252,2,Oxidation,wet,1120.8,H2O,38.11,0.37,157,707.68,15,40,2024-12-31
NOLSM32513253,2,Oxidation,wet,951.24,H2O,40.04,0.35,74,717.96,15,41,2024-12-31
NOLSM32513254,2,Oxidation,wet,1047.61,H2O,35.49,0.45,112,713.53,15,42,2024-12-31
NOLSM32513255,2,Oxidation,dry,1142.97,O2,28.56,0.06,103,712.7,15,43,2024-12-31
NOLSM32513256,2,Oxidation,wet,1025.05,H2O,34.59,0.01,198,714.44,15,44,2024-12-31
NOLSM32513257,2,Oxidation,wet,1253.45,H2O,34.86,0.29,22,715.51,15,45,2024-12-31
NOLSM32513258,2,Oxidation,wet,1099.43,H2O,32.59,0.3,87,713.18,15,46,2024-12-31
NOLSM32513259,2,Oxidation,wet,1103.3,H2O,38.11,0.13,66,714.35,15,47,2024-12-31
NOLSM32513260,2,Oxidation,dry,1108.12,O2,33.76,-0.01,118,710.05,15,48,2024-12-31
NOLSM32513261,2,Oxidation,dry,1259.17,O2,29.11,0.18,177,710.69,15,49,2024-12-31
NOLSM32513262,2,Oxidation,dry,1203.89,O2,49.95,0.17,70,711.61,15,50,2024-12-31
NOLSM32513263,2,Oxidation,dry,1051.65,O2,32.35,0.25,145,709.98,15,51,2024-12-31
NOLSM32513264,2,Oxidation,wet,1186.74,H2O,32.73,0.19,74,715.02,15,52,2024-12-31
NOLSM32513265,2,Oxidation,wet,926.43,H2O,36.71,0.2,75,707.48,15,53,2024-12-31
NOLSM32513266,2,Oxidation,dry,1190.71,O2,35.57,0.21,108,700.64,15,54,2024-12-31
NOLSM32513267,1,Oxidation,dry,1083.89,O2,39.42,0.31,135,687.54,15,1,2024-12-31
NOLSM32513268,1,Oxidation,dry,1086.57,O2,35.17,0.32,93,714.91,15,2,2024-12-31
NOLSM32513269,1,Oxidation,wet,1134.21,H2O,32.11,0.13,103,695.36,15,3,2024-12-31
NOLSM32513270,1,Oxidation,wet,965.85,H2O,45.14,0.31,87,705.02,15,4,2024-12-31
NOLSM32513271,1,Oxidation,wet,973.79,H2O,43.75,0.2,103,707.03,15,5,2024-12-31
NOLSM32513272,2,Oxidation,dry,1130.73,O2,26.85,0.21,121,726.34,15,6,2024-12-31
NOLSM32513273,2,Oxidation,wet,1158.36,H2O,32.12,0.24,115,712.16,15,7,2024-12-31
NOLSM32513274,2,Oxidation,dry,979.8,O2,38.76,0.16,129,715.57,15,8,2024-12-31
NOLSM32513275,2,Oxidation,dry,1080.68,O2,34.25,0.36,118,710.41,15,9,2024-12-31
NOLSM32513276,2,Oxidation,dry,1151.92,O2,41.88,0.34,149,703.42,15,10,2024-12-31
NOLSM32513277,2,Oxidation,dry,957.63,O2,37.52,0.33,71,704.63,15,11,2024-12-31
NOLSM32513278,2,Oxidation,dry,994.52,O2,31.48,0.29,86,711.06,15,12,2024-12-31
NOLSM32513279,2,Oxidation,wet,1109.53,H2O,39.16,0.01,157,707.73,15,13,2024-12-31
NOLSM32513280,3,Oxidation,wet,946.93,H2O,30.43,0.21,74,717.88,15,14,2024-12-31
NOLSM32513281,3,Oxidation,wet,1035.87,H2O,32.33,0.02,112,719.2,15,15,2024-12-31
NOLSM32513282,3,Oxidation,dry,1123.43,O2,32.27,0.24,103,708.71,15,16,2024-12-31
NOLSM32513283,3,Oxidation,wet,1008.76,H2O,28.78,0.31,198,702.27,15,17,2024-12-31
NOLSM32513284,3,Oxidation,wet,1245.33,H2O,29.18,0.12,22,716.53,15,18,2024-12-31
NOLSM32513285,3,Oxidation,wet,1086.85,H2O,35.66,0.24,87,703.81,15,19,2024-12-31
NOLSM32513286,3,Oxidation,wet,1088.38,H2O,33.52,0.14,66,717.25,15,20,2024-12-31
NOLSM32513287,3,Oxidation,dry,1107.11,O2,32.78,0.18,118,719.37,15,21,2024-12-31
NOLSM32513288,1,Oxidation,dry,1253.33,O2,34.83,0.31,177,688.94,15,22,2024-12-31
NOLSM32513289,1,Oxidation,dry,1193.18,O2,34.34,0.19,70,709.66,15,23,2024-12-31
NOLSM32513290,1,Oxidation,dry,1045.56,O2,29.26,0.29,145,708.62,15,24,2024-12-31
NOLSM32513291,1,Oxidation,wet,1178.37,H2O,49.15,0.39,74,715.12,15,25,2024-12-31
NOLSM32513292,1,Oxidation,wet,923.49,H2O,37.17,0.34,75,707.63,15,26,2024-12-31
NOLSM32513293,1,Oxidation,dry,1171.21,O2,29.36,0.42,108,700.63,15,27,2024-12-31
NOLSM32513294,3,Oxidation,dry,991.6,O2,31.87,0.14,144,699.32,16,28,2025-01-01
NOLSM32513295,3,Oxidation,wet,1220.16,H2O,31.54,0.18,125,716.1,16,29,2025-01-01
NOLSM32513296,3,Oxidation,dry,886.5,O2,39.94,0.33,45,731.82,16,30,2025-01-01
NOLSM32513297,3,Oxidation,dry,977.31,O2,30.61,0.23,101,709.02,16,31,2025-01-01
NOLSM32513298,3,Oxidation,wet,1049.84,H2O,29.72,0.15,165,727.73,16,32,2025-01-01
NOLSM32513299,3,Oxidation,dry,1081.57,O2,33.76,-0.01,191,715.52,16,33,2025-01-01
NOLSM32513300,3,Oxidation,dry,993.61,O2,31.83,0.25,145,711.2,16,34,2025-01-01
NOLSM32513301,3,Oxidation,wet,1094.35,H2O,37.17,0.23,181,701.09,16,35,2025-01-01
NOLSM32513302,3,Oxidation,dry,1004.5,O2,26.61,0.32,201,704.39,16,36,2025-01-01
NOLSM32513303,3,Oxidation,wet,1058.3,H2O,32.98,0.01,79,698.9,16,37,2025-01-01
NOLSM32513304,3,Oxidation,wet,900.84,H2O,38.1,0.26,59,689.55,16,38,2025-01-01
NOLSM32513305,3,Oxidation,dry,1019.49,O2,23.5,0.12,89,688.95,16,39,2025-01-01
NOLSM32513306,3,Oxidation,wet,1203.31,H2O,36.3,0.06,162,708.79,16,40,2025-01-01
NOLSM32513307,3,Oxidation,dry,1206.64,O2,41.0,0.07,31,704.35,16,41,2025-01-01
NOLSM32513308,3,Oxidation,wet,1056.77,H2O,33.88,0.23,119,709.24,16,42,2025-01-01
NOLSM32513309,3,Oxidation,wet,1111.48,H2O,34.62,0.18,96,705.26,16,43,2025-01-01
NOLSM32513310,3,Oxidation,wet,1185.24,H2O,33.53,-0.04,154,715.45,16,44,2025-01-01
NOLSM32513311,3,Oxidation,wet,1001.5,H2O,43.07,0.19,105,713.23,16,45,2025-01-01
NOLSM32513312,3,Oxidation,dry,1098.07,O2,38.07,0.04,92,704.07,16,46,2025-01-01
NOLSM32513313,3,Oxidation,dry,1055.52,O2,37.32,0.18,101,710.11,16,47,2025-01-01
NOLSM32513314,3,Oxidation,dry,977.68,O2,28.58,0.25,157,706.35,16,48,2025-01-01
NOLSM32513315,3,Oxidation,wet,996.57,H2O,36.74,0.22,150,712.45,16,49,2025-01-01
NOLSM32513316,3,Oxidation,dry,1094.85,O2,39.78,0.31,152,704.91,16,50,2025-01-01
NOLSM32513317,3,Oxidation,dry,1127.01,O2,39.82,0.28,76,704.17,16,51,2025-01-01
NOLSM32513318,3,Oxidation,dry,1044.03,O2,38.43,0.01,72,703.81,16,52,2025-01-01
NOLSM32513319,3,Oxidation,dry,1241.21,O2,41.14,0.26,76,717.37,16,53,2025-01-01
NOLSM32513320,3,Oxidation,dry,1066.84,O2,37.56,0.27,15,713.5,16,54,2025-01-01
NOLSM32513321,1,Oxidation,dry,988.63,O2,31.69,0.12,144,699.28,16,1,2025-01-01
NOLSM32513322,1,Oxidation,wet,1219.89,H2O,31.3,0.05,125,715.7,16,2,2025-01-01
NOLSM32513323,2,Oxidation,dry,871.35,O2,39.94,0.18,45,731.88,16,3,2025-01-01
NOLSM32513324,2,Oxidation,dry,964.77,O2,30.66,0.2,101,709.14,16,4,2025-01-01
NOLSM32513325,2,Oxidation,wet,1044.98,H2O,29.64,0.19,165,727.81,16,5,2025-01-01
NOLSM32513326,2,Oxidation,dry,1070.3,O2,33.64,0.25,191,715.62,16,6,2025-01-01
NOLSM32513327,2,Oxidation,dry,979.51,O2,31.97,0.17,145,711.18,16,7,2025-01-01
NOLSM32513328,2,Oxidation,wet,1077.08,H2O,37.2,0.13,181,700.64,16,8,2025-01-01
NOLSM32513329,2,Oxidation,dry,1002.2,O2,26.46,0.02,201,704.2,16,9,2025-01-01
NOLSM32513330,2,Oxidation,wet,1053.47,H2O,33.09,0.33,79,698.76,16,10,2025-01-01
NOLSM32513331,2,Oxidation,wet,883.99,H2O,38.09,0.11,59,689.59,16,11,2025-01-01
NOLSM32513332,3,Oxidation,dry,1012.03,O2,23.62,0.03,89,688.98,16,12,2025-01-01
NOLSM32513333,3,Oxidation,wet,1196.69,H2O,36.37,0.24,162,708.7,16,13,2025-01-01
NOLSM32513334,3,Oxidation,dry,1191.16,O2,40.99,0.09,31,704.49,16,14,2025-01-01
NOLSM32513335,3,Oxidation,wet,1042.83,H2O,33.95,0.35,119,709.07,16,15,2025-01-01
NOLSM32513336,3,Oxidation,wet,1096.34,H2O,34.54,0.12,96,705.28,16,16,2025-01-01
NOLSM32513337,3,Oxidation,wet,1178.92,H2O,33.2,0.41,154,715.28,16,17,2025-01-01
NOLSM32513338,3,Oxidation,wet,984.54,H2O,42.73,0.28,105,713.31,16,18,2025-01-01
NOLSM32513339,3,Oxidation,dry,1090.99,O2,38.28,0.21,92,704.1,16,19,2025-01-01
NOLSM32513340,1,Oxidation,dry,1049.01,O2,37.51,0.09,101,710.31,16,20,2025-01-01
NOLSM32513341,1,Oxidation,dry,972.1,O2,28.79,0.11,157,706.48,16,21,2025-01-01
NOLSM32513342,1,Oxidation,wet,984.63,H2O,36.75,0.3,150,712.35,16,22,2025-01-01
NOLSM32513343,1,Oxidation,dry,1085.42,O2,39.86,0.2,152,704.98,16,23,2025-01-01
NOLSM32513344,1,Oxidation,dry,1126.06,O2,39.71,0.17,76,704.26,16,24,2025-01-01
NOLSM32513345,1,Oxidation,dry,1043.13,O2,38.33,0.19,72,704.05,16,25,2025-01-01
NOLSM32513346,1,Oxidation,dry,1223.65,O2,40.96,0.38,76,717.43,16,26,2025-01-01
NOLSM32513347,1,Oxidation,dry,1049.57,O2,37.68,0.2,15,694.35,16,27,2025-01-01
NOLSM32513348,3,Oxidation,wet,1061.14,H2O,40.85,0.09,36,712.65,17,28,2025-01-02
NOLSM32513349,3,Oxidation,dry,1209.07,O2,30.2,0.23,50,714.44,17,29,2025-01-02
NOLSM32513350,3,Oxidation,dry,1078.22,O2,34.79,0.18,152,715.46,17,30,2025-01-02
NOLSM32513351,3,Oxidation,wet,1054.16,H2O,30.04,0.33,128,713.0,17,31,2025-01-02
NOLSM32513352,3,Oxidation,dry,1065.26,O2,35.79,0.12,184,714.38,17,32,2025-01-02
NOLSM32513353,3,Oxidation,dry,1080.34,O2,38.28,0.18,87,709.97,17,33,2025-01-02
NOLSM32513354,3,Oxidation,dry,959.05,O2,34.63,0.27,135,710.66,17,34,2025-01-02
NOLSM32513355,3,Oxidation,wet,994.87,H2O,33.87,0.23,69,711.57,17,35,2025-01-02
NOLSM32513356,3,Oxidation,dry,1186.28,O2,32.65,0.21,140,710.02,17,36,2025-01-02
NOLSM32513357,3,Oxidation,wet,1032.96,H2O,31.87,0.26,156,702.35,17,37,2025-01-02
NOLSM32513358,3,Oxidation,dry,1228.29,O2,39.58,0.11,179,699.46,17,38,2025-01-02
NOLSM32513359,3,Oxidation,dry,1111.01,O2,32.79,0.28,94,732.89,17,39,2025-01-02
NOLSM32513360,3,Oxidation,dry,1194.61,O2,38.03,0.27,117,698.3,17,40,2025-01-02
NOLSM32513361,3,Oxidation,dry,1199.0,O2,39.92,0.11,127,703.08,17,41,2025-01-02
NOLSM32513362,3,Oxidation,wet,1024.36,H2O,35.66,0.19,101,705.11,17,42,2025-01-02
NOLSM32513363,3,Oxidation,dry,1279.6,O2,28.55,0.14,145,720.66,17,43,2025-01-02
NOLSM32513364,3,Oxidation,dry,1148.8,O2,34.58,0.34,103,716.04,17,44,2025-01-02
NOLSM32513365,3,Oxidation,wet,1136.46,H2O,35.1,0.06,129,716.58,17,45,2025-01-02
NOLSM32513366,3,Oxidation,dry,1097.88,O2,32.58,0.24,133,714.05,17,46,2025-01-02
NOLSM32513367,3,Oxidation,dry,1192.98,O2,38.08,0.18,146,717.08,17,47,2025-01-02
NOLSM32513368,3,Oxidation,dry,875.51,O2,33.84,0.09,56,703.91,17,48,2025-01-02
NOLSM32513369,3,Oxidation,wet,1068.23,H2O,28.97,0.35,112,699.49,17,49,2025-01-02
NOLSM32513370,3,Oxidation,dry,1031.01,O2,49.87,0.26,181,699.11,17,50,2025-01-02
NOLSM32513371,3,Oxidation,dry,1124.11,O2,32.41,0.17,118,690.89,17,51,2025-01-02
NOLSM32513372,3,Oxidation,dry,1100.73,O2,32.89,0.35,154,716.07,17,52,2025-01-02
NOLSM32513373,3,Oxidation,wet,1093.14,H2O,36.52,0.07,168,700.3,17,53,2025-01-02
NOLSM32513374,3,Oxidation,dry,1143.43,O2,35.49,0.29,152,707.78,17,54,2025-01-02
NOLSM32513375,2,Oxidation,wet,1042.23,H2O,40.79,0.29,36,696.55,17,1,2025-01-02
NOLSM32513376,2,Oxidation,dry,1206.08,O2,30.52,0.4,50,713.05,17,2,2025-01-02
NOLSM32513377,2,Oxidation,dry,1070.64,O2,34.32,0.29,152,705.58,17,3,2025-01-02
NOLSM32513378,2,Oxidation,wet,1037.85,H2O,30.17,0.13,128,720.83,17,4,2025-01-02
NOLSM32513379,2,Oxidation,dry,1059.99,O2,35.8,0.28,184,702.12,17,5,2025-01-02
NOLSM32513380,2,Oxidation,dry,1079.06,O2,38.4,0.17,87,726.59,17,6,2025-01-02
NOLSM32513381,2,Oxidation,dry,956.17,O2,34.98,0.35,135,699.02,17,7,2025-01-02
NOLSM32513382,2,Oxidation,wet,993.63,H2O,33.91,-0.08,69,712.83,17,8,2025-01-02
NOLSM32513383,3,Oxidation,dry,1183.57,O2,33.36,0.15,140,710.15,17,9,2025-01-02
NOLSM32513384,3,Oxidation,wet,1027.84,H2O,30.68,0.17,156,702.6,17,10,2025-01-02
NOLSM32513385,3,Oxidation,dry,1210.4,O2,33.76,0.24,179,699.47,17,11,2025-01-02
NOLSM32513386,3,Oxidation,dry,1108.29,O2,40.53,0.14,94,732.67,17,12,2025-01-02
NOLSM32513387,3,Oxidation,dry,1191.1,O2,36.91,0.21,117,698.44,17,13,2025-01-02
NOLSM32513388,3,Oxidation,dry,1188.96,O2,35.39,0.22,127,703.1,17,14,2025-01-02
NOLSM32513389,3,Oxidation,wet,1011.73,H2O,34.41,0.13,101,704.85,17,15,2025-01-02
NOLSM32513390,3,Oxidation,dry,1259.93,O2,37.76,0.11,145,720.63,17,16,2025-01-02
NOLSM32513391,1,Oxidation,dry,1132.41,O2,34.54,0.15,103,716.0,17,17,2025-01-02
