No_Die,Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Lot_Num,Wafer_Num,Datetime
NOLSM32513193,2,Implantation,9910000000000000.0,6.1e+16,1.66e+17,3.02e+17,6e+17,32202.178,103.732,882.0,153,14,35,2024-12-30
NOLSM32513194,3,Implantation,1.38e+16,1.09e+17,7.02e+17,3e+17,6e+17,31167.945,104.347,888.0,159,14,36,2024-12-30
NOLSM32513195,1,Implantation,1.79e+16,8.57e+16,6.04e+17,3e+17,6e+17,30598.151,102.795,860.0,155,14,37,2024-12-30
NOLSM32513196,2,Implantation,1.07e+16,9.57e+16,2.49e+17,3.01e+17,6e+17,32095.814,103.303,902.0,155,14,38,2024-12-30
NOLSM32513197,3,Implantation,1.44e+16,5.22e+16,9.28e+17,2.99e+17,6e+17,31074.302,101.463,893.0,155,14,39,2024-12-30
NOLSM32513198,1,Implantation,1e+16,1.31e+17,6.99e+17,3e+17,6e+17,31732.595,104.228,912.0,153,14,40,2024-12-30
NOLSM32513199,2,Implantation,8190000000000000.0,7.54e+16,8.47e+17,2.99e+17,6e+17,31559.442,101.525,909.0,154,14,41,2024-12-30
NOLSM32513200,3,Implantation,8240000000000000.0,1.24e+16,8.48e+17,3e+17,6e+17,31251.229,101.804,906.0,155,14,42,2024-12-30
NOLSM32513201,1,Implantation,8270000000000000.0,7.79e+16,5.92e+17,3e+17,6e+17,31364.08,103.814,906.0,155,14,43,2024-12-30
NOLSM32513202,2,Implantation,1.22e+16,1.13e+17,8.25e+17,3e+17,6e+17,32166.522,102.676,911.0,153,14,44,2024-12-30
NOLSM32513203,3,Implantation,1.18e+16,1.14e+17,4.73e+17,2.99e+17,6e+17,32602.41,104.142,917.0,160,14,45,2024-12-30
NOLSM32513204,1,Implantation,6750000000000000.0,9.89e+16,2.11e+17,3e+17,6e+17,31126.741,103.882,894.0,156,14,46,2024-12-30
NOLSM32513205,2,Implantation,1.49e+16,3.52e+16,4.27e+17,3.01e+17,6e+17,31795.65,104.22,875.0,154,14,47,2024-12-30
NOLSM32513206,3,Implantation,6750000000000000.0,1.08e+17,6.22e+17,3.01e+17,6e+17,31208.943,103.87,884.0,156,14,48,2024-12-30
NOLSM32513207,1,Implantation,2980000000000000.0,8.43e+16,6.48e+17,3.01e+17,6e+17,30954.028,99.618,895.0,155,14,49,2024-12-30
NOLSM32513208,2,Implantation,1.58e+16,9.95e+16,3.07e+17,3.02e+17,6e+17,31265.025,102.092,916.0,150,14,50,2024-12-30
NOLSM32513209,3,Implantation,6410000000000000.0,5500000000000000.0,4.5e+17,2.99e+17,6e+17,32267.21,104.219,907.0,155,14,51,2024-12-30
NOLSM32513210,1,Implantation,1.54e+16,5.38e+16,2.17e+17,3.03e+17,6e+17,31799.91,104.13,917.0,150,14,52,2024-12-30
NOLSM32513211,2,Implantation,1.23e+16,8.84e+16,6.37e+17,2.99e+17,6e+17,32222.165,104.569,893.0,157,14,53,2024-12-30
NOLSM32513212,3,Implantation,3410000000000000.0,1.26e+17,6.61e+17,3.01e+17,6e+17,32130.402,102.282,900.0,157,14,54,2024-12-30
NOLSM32513213,3,Implantation,1.09e+16,-4.12e+16,9.74e+17,3.03e+17,6e+17,31292.762,100.69,899.0,151,14,1,2024-12-30
NOLSM32513214,2,Implantation,1.14e+16,7.25e+16,8.05e+17,2.99e+17,6e+17,32015.121,103.061,874.0,155,14,2,2024-12-30
NOLSM32513215,1,Implantation,1.62e+16,8.58e+16,4.53e+17,3.01e+17,6e+17,30828.475,103.013,882.0,158,14,3,2024-12-30
NOLSM32513216,1,Implantation,1.24e+16,1.5e+17,3.6e+17,2.99e+17,6e+17,32525.838,102.8,926.0,156,14,4,2024-12-30
NOLSM32513217,2,Implantation,1.54e+16,4.3e+16,5.93e+17,3.02e+17,6e+17,31584.013,102.496,925.0,156,14,5,2024-12-30
NOLSM32513218,3,Implantation,1.65e+16,1.26e+17,8.12e+17,3e+17,6e+17,31743.923,104.177,914.0,156,14,6,2024-12-30
NOLSM32513219,2,Implantation,7240000000000000.0,1.96e+17,5.41e+17,2.96e+17,6e+17,32590.5,106.089,915.0,154,14,7,2024-12-30
NOLSM32513220,1,Implantation,9910000000000000.0,6.1e+16,1.66e+17,3.02e+17,6e+17,32202.176,103.869,882.0,153,14,8,2024-12-30
NOLSM32513221,1,Implantation,1.38e+16,1.09e+17,7.02e+17,3e+17,6e+17,31167.796,104.266,888.0,159,14,9,2024-12-30
NOLSM32513222,2,Implantation,1.79e+16,8.57e+16,6.04e+17,3e+17,6e+17,30598.136,102.632,860.0,155,14,10,2024-12-30
NOLSM32513223,3,Implantation,1.07e+16,9.57e+16,2.49e+17,3.01e+17,6e+17,32095.478,103.291,902.0,155,14,11,2024-12-30
NOLSM32513224,3,Implantation,1.44e+16,5.22e+16,9.28e+17,2.99e+17,6e+17,31073.977,101.344,893.0,155,14,12,2024-12-30
NOLSM32513225,2,Implantation,1e+16,1.31e+17,6.99e+17,3e+17,6e+17,31732.537,104.116,912.0,153,14,13,2024-12-30
NOLSM32513226,1,Implantation,8190000000000000.0,7.54e+16,8.47e+17,2.99e+17,6e+17,31559.651,101.575,909.0,154,14,14,2024-12-30
NOLSM32513227,1,Implantation,8240000000000000.0,1.24e+16,8.48e+17,3e+17,6e+17,31251.18,101.892,906.0,155,14,15,2024-12-30
NOLSM32513228,2,Implantation,8270000000000000.0,7.79e+16,5.92e+17,3e+17,6e+17,31364.02,103.853,906.0,155,14,16,2024-12-30
NOLSM32513229,3,Implantation,1.22e+16,1.13e+17,8.25e+17,3e+17,6e+17,32166.671,102.611,911.0,153,14,17,2024-12-30
NOLSM32513230,3,Implantation,1.18e+16,1.14e+17,4.73e+17,2.99e+17,6e+17,32602.503,104.029,917.0,160,14,18,2024-12-30
NOLSM32513231,2,Implantation,6750000000000000.0,9.89e+16,2.11e+17,3e+17,6e+17,31126.947,103.852,894.0,156,14,19,2024-12-30
NOLSM32513232,1,Implantation,1.49e+16,3.52e+16,4.27e+17,3.01e+17,6e+17,31795.566,103.942,875.0,154,14,20,2024-12-30
NOLSM32513233,1,Implantation,6750000000000000.0,1.08e+17,6.22e+17,3.01e+17,6e+17,31209.038,103.736,884.0,156,14,21,2024-12-30
NOLSM32513234,2,Implantation,2980000000000000.0,8.43e+16,6.48e+17,3.01e+17,6e+17,30954.123,99.616,895.0,155,14,22,2024-12-30
NOLSM32513235,3,Implantation,1.58e+16,9.95e+16,3.07e+17,3.02e+17,6e+17,31265.088,101.946,916.0,150,14,23,2024-12-30
NOLSM32513236,1,Implantation,6410000000000000.0,5500000000000000.0,4.5e+17,2.99e+17,6e+17,32267.203,104.089,907.0,155,14,24,2024-12-30
NOLSM32513237,1,Implantation,1.54e+16,5.38e+16,2.17e+17,3.03e+17,6e+17,31799.623,104.149,917.0,150,14,25,2024-12-30
NOLSM32513238,2,Implantation,1.23e+16,8.84e+16,6.37e+17,2.99e+17,6e+17,32222.248,104.871,893.0,157,14,26,2024-12-30
NOLSM32513239,3,Implantation,3410000000000000.0,1.26e+17,6.61e+17,3.01e+17,6e+17,32130.359,102.502,900.0,157,14,27,2024-12-30
NOLSM32513240,1,Implantation,2880000000000000.0,-1.2e+16,5.22e+17,3.01e+17,6e+17,32241.498,101.983,912.0,156,15,28,2024-12-31
NOLSM32513241,2,Implantation,8140000000000000.0,1.65e+17,2.54e+17,3.01e+17,6e+17,32695.138,100.639,893.0,158,15,29,2024-12-31
NOLSM32513242,3,Implantation,1.42e+16,9.77e+16,3.16e+17,2.99e+17,6e+17,32457.934,103.263,894.0,152,15,30,2024-12-31
NOLSM32513243,1,Implantation,1.23e+16,9.7e+16,3.21e+17,3.01e+17,6e+17,32385.672,100.857,901.0,155,15,31,2024-12-31
NOLSM32513244,2,Implantation,1.78e+16,6.64e+16,6.58e+17,3e+17,6e+17,32928.856,104.806,885.0,153,15,32,2024-12-31
NOLSM32513245,3,Implantation,5990000000000000.0,1.35e+17,1.14e+18,2.99e+17,6e+17,32507.588,103.763,907.0,153,15,33,2024-12-31
NOLSM32513246,1,Implantation,9960000000000000.0,5.89e+16,6.87e+17,3.01e+17,6e+17,31557.661,99.593,897.0,154,15,34,2024-12-31
NOLSM32513247,2,Implantation,7060000000000000.0,1.19e+17,5.26e+17,3e+17,6e+17,32314.82,102.231,916.0,153,15,35,2024-12-31
NOLSM32513248,3,Implantation,1.17e+16,5.23e+16,5.98e+17,3.01e+17,6e+17,32704.753,104.474,911.0,153,15,36,2024-12-31
NOLSM32513249,1,Implantation,8720000000000000.0,1.38e+17,3.74e+17,3.01e+17,6e+17,32148.116,104.377,896.0,158,15,37,2024-12-31
NOLSM32513250,2,Implantation,1.15e+16,1.52e+17,4.58e+17,3e+17,6e+17,32153.37,101.987,911.0,156,15,38,2024-12-31
NOLSM32513251,3,Implantation,1.46e+16,2.69e+16,6.04e+17,3e+17,6e+17,32034.106,107.522,878.0,156,15,39,2024-12-31
NOLSM32513252,1,Implantation,9500000000000000.0,1.14e+17,4.29e+17,3.03e+17,6e+17,30966.621,105.43,903.0,152,15,40,2024-12-31
NOLSM32513253,2,Implantation,1.11e+16,1.46e+17,3.77e+17,3e+17,6e+17,31509.131,104.388,884.0,154,15,41,2024-12-31
NOLSM32513254,3,Implantation,1.15e+16,9.13e+16,4.82e+17,3.03e+17,6e+17,31497.268,105.082,906.0,152,15,42,2024-12-31
NOLSM32513255,1,Implantation,2.01e+16,1.58e+17,5.62e+17,3.01e+17,6e+17,30883.925,100.623,906.0,150,15,43,2024-12-31
NOLSM32513256,2,Implantation,7300000000000000.0,1.79e+17,3.31e+17,3e+17,6e+17,32548.552,101.757,913.0,153,15,44,2024-12-31
NOLSM32513257,3,Implantation,1.34e+16,8.04e+16,3.52e+17,3.01e+17,6e+17,32096.926,102.962,889.0,154,15,45,2024-12-31
NOLSM32513258,1,Implantation,8720000000000000.0,5.58e+16,4.22e+17,3e+17,6e+17,31877.006,103.311,900.0,156,15,46,2024-12-31
NOLSM32513259,2,Implantation,1.62e+16,5.1e+16,4.6e+17,2.99e+17,6e+17,31373.269,103.913,911.0,154,15,47,2024-12-31
NOLSM32513260,3,Implantation,1.08e+16,7.93e+16,4.8e+17,2.98e+17,6e+17,32270.912,102.76,903.0,157,15,48,2024-12-31
NOLSM32513261,1,Implantation,1.44e+16,1.29e+17,6.72e+17,2.99e+17,6e+17,32062.354,104.484,885.0,152,15,49,2024-12-31
NOLSM32513262,2,Implantation,1.73e+16,9.95e+16,-6.12e+16,3e+17,6e+17,32374.807,104.115,898.0,155,15,50,2024-12-31
NOLSM32513263,3,Implantation,8720000000000000.0,1e+17,6.54e+17,2.98e+17,6e+17,31438.794,104.74,908.0,148,15,51,2024-12-31
NOLSM32513264,1,Implantation,7300000000000000.0,1.13e+17,6.12e+17,3e+17,6e+17,32297.257,102.604,893.0,152,15,52,2024-12-31
NOLSM32513265,2,Implantation,1.82e+16,6.32e+16,6.9e+17,3.01e+17,6e+17,31153.952,103.658,927.0,154,15,53,2024-12-31
NOLSM32513266,3,Implantation,1.3e+16,1.49e+17,6.14e+17,3.02e+17,6e+17,32181.353,104.725,906.0,156,15,54,2024-12-31
NOLSM32513267,3,Implantation,2880000000000000.0,-1.2e+16,5.22e+17,3.01e+17,6e+17,32241.403,102.087,912.0,156,15,1,2024-12-31
NOLSM32513268,2,Implantation,8140000000000000.0,1.65e+17,2.54e+17,3.01e+17,6e+17,32695.387,100.671,893.0,158,15,2,2024-12-31
NOLSM32513269,1,Implantation,1.42e+16,9.77e+16,3.16e+17,2.99e+17,6e+17,32457.85,103.259,894.0,152,15,3,2024-12-31
NOLSM32513270,1,Implantation,1.23e+16,9.7e+16,3.21e+17,3.01e+17,6e+17,32385.455,100.788,901.0,155,15,4,2024-12-31
NOLSM32513271,3,Implantation,1.78e+16,6.64e+16,6.58e+17,3e+17,6e+17,32928.677,104.637,885.0,153,15,5,2024-12-31
NOLSM32513272,3,Implantation,5990000000000000.0,1.35e+17,1.14e+18,2.99e+17,6e+17,32507.417,103.84,907.0,153,15,6,2024-12-31
NOLSM32513273,1,Implantation,9960000000000000.0,5.89e+16,6.87e+17,3.01e+17,6e+17,31557.507,99.64,897.0,154,15,7,2024-12-31
NOLSM32513274,1,Implantation,7060000000000000.0,1.19e+17,5.26e+17,3e+17,6e+17,32314.68,102.257,916.0,153,15,8,2024-12-31
NOLSM32513275,2,Implantation,1.17e+16,5.23e+16,5.98e+17,3.01e+17,6e+17,32704.403,104.555,911.0,153,15,9,2024-12-31
NOLSM32513276,3,Implantation,8720000000000000.0,1.38e+17,3.74e+17,3.01e+17,6e+17,32148.126,104.418,896.0,158,15,10,2024-12-31
NOLSM32513277,3,Implantation,1.15e+16,1.52e+17,4.58e+17,3e+17,6e+17,32153.486,102.1,911.0,156,15,11,2024-12-31
NOLSM32513278,2,Implantation,1.46e+16,2.69e+16,6.04e+17,3e+17,6e+17,32034.234,107.342,878.0,156,15,12,2024-12-31
NOLSM32513279,1,Implantation,9500000000000000.0,1.14e+17,4.29e+17,3.03e+17,6e+17,30966.765,105.335,903.0,152,15,13,2024-12-31
NOLSM32513280,1,Implantation,1.11e+16,1.46e+17,3.77e+17,3e+17,6e+17,31509.282,104.252,884.0,154,15,14,2024-12-31
NOLSM32513281,3,Implantation,1.15e+16,9.13e+16,4.82e+17,3.03e+17,6e+17,31497.361,105.087,906.0,152,15,15,2024-12-31
NOLSM32513282,3,Implantation,2.01e+16,1.58e+17,5.62e+17,3.01e+17,6e+17,30883.485,100.704,906.0,150,15,16,2024-12-31
NOLSM32513283,2,Implantation,7300000000000000.0,1.79e+17,3.31e+17,3e+17,6e+17,32548.447,101.819,913.0,153,15,17,2024-12-31
NOLSM32513284,1,Implantation,1.34e+16,8.04e+16,3.52e+17,3.01e+17,6e+17,32096.945,102.999,889.0,154,15,18,2024-12-31
NOLSM32513285,1,Implantation,8720000000000000.0,5.58e+16,4.22e+17,3e+17,6e+17,31876.866,103.292,900.0,156,15,19,2024-12-31
NOLSM32513286,2,Implantation,1.62e+16,5.1e+16,4.6e+17,2.99e+17,6e+17,31373.195,103.899,911.0,154,15,20,2024-12-31
NOLSM32513287,3,Implantation,1.08e+16,7.93e+16,4.8e+17,2.98e+17,6e+17,32271.039,102.779,903.0,157,15,21,2024-12-31
NOLSM32513288,3,Implantation,1.44e+16,1.29e+17,6.72e+17,2.99e+17,6e+17,32062.39,104.431,885.0,152,15,22,2024-12-31
NOLSM32513289,2,Implantation,1.73e+16,9.95e+16,-6.12e+16,3e+17,6e+17,32374.896,104.079,898.0,155,15,23,2024-12-31
NOLSM32513290,1,Implantation,8720000000000000.0,1e+17,6.54e+17,2.98e+17,6e+17,31438.706,104.665,908.0,148,15,24,2024-12-31
NOLSM32513291,1,Implantation,7300000000000000.0,1.13e+17,6.12e+17,3e+17,6e+17,32297.239,102.575,893.0,152,15,25,2024-12-31
NOLSM32513292,3,Implantation,1.82e+16,6.32e+16,6.9e+17,3.01e+17,6e+17,31153.443,103.5,927.0,154,15,26,2024-12-31
NOLSM32513293,3,Implantation,1.3e+16,1.49e+17,6.14e+17,3.02e+17,6e+17,32181.25,104.48,906.0,156,15,27,2024-12-31
NOLSM32513294,1,Implantation,5170000000000000.0,1.71e+16,7.53e+17,3e+17,6e+17,31639.368,103.813,902.0,155,16,28,2025-01-01
NOLSM32513295,2,Implantation,1.3e+16,1.83e+17,3.86e+17,3.01e+17,6e+17,31468.133,102.496,923.0,153,16,29,2025-01-01
NOLSM32513296,3,Implantation,1.61e+16,7.85e+16,9.67e+17,3e+17,6e+17,30906.682,104.393,910.0,149,16,30,2025-01-01
NOLSM32513297,1,Implantation,9420000000000000.0,1.8e+17,4.59e+17,3.02e+17,6e+17,31668.665,104.503,919.0,157,16,31,2025-01-01
NOLSM32513298,2,Implantation,3160000000000000.0,5.03e+16,1.05e+18,3.01e+17,6e+17,30876.218,103.355,881.0,154,16,32,2025-01-01
NOLSM32513299,3,Implantation,1.26e+16,2.4e+16,7.29e+17,3.01e+17,6e+17,32023.094,103.641,871.0,154,16,33,2025-01-01
NOLSM32513300,1,Implantation,1.86e+16,1.38e+17,3.26e+17,3.01e+17,6e+17,32434.979,105.768,908.0,156,16,34,2025-01-01
NOLSM32513301,2,Implantation,1.06e+16,6.33e+16,5.17e+17,3.02e+17,6e+17,31494.143,104.719,891.0,157,16,35,2025-01-01
NOLSM32513302,3,Implantation,9390000000000000.0,1.8e+17,9.22e+17,2.99e+17,6e+17,30734.554,105.221,910.0,153,16,36,2025-01-01
NOLSM32513303,1,Implantation,1.23e+16,1.48e+17,4.06e+17,3e+17,6e+17,32057.907,106.022,898.0,152,16,37,2025-01-01
NOLSM32513304,2,Implantation,1.3e+16,1.02e+17,7.47e+17,2.99e+17,6e+17,31364.505,103.514,900.0,152,16,38,2025-01-01
NOLSM32513305,3,Implantation,7550000000000000.0,9.44e+16,9.74e+17,3.02e+17,6e+17,32541.855,101.432,892.0,153,16,39,2025-01-01
NOLSM32513306,1,Implantation,9650000000000000.0,4.74e+16,6.62e+17,2.98e+17,6e+17,33034.6,104.439,923.0,152,16,40,2025-01-01
NOLSM32513307,2,Implantation,1.12e+16,1.54e+17,6.69e+17,3e+17,6e+17,31946.016,101.186,884.0,153,16,41,2025-01-01
NOLSM32513308,3,Implantation,1.39e+16,7.15e+16,7.37e+17,3e+17,6e+17,31897.677,105.157,873.0,155,16,42,2025-01-01
NOLSM32513309,1,Implantation,1.6e+16,9.27e+16,3.73e+17,3e+17,6e+17,32602.855,102.809,904.0,155,16,43,2025-01-01
NOLSM32513310,2,Implantation,3600000000000000.0,1.22e+17,4.46e+17,3.01e+17,6e+17,31571.871,101.105,892.0,155,16,44,2025-01-01
NOLSM32513311,3,Implantation,1.44e+16,2.04e+17,2.42e+17,3.02e+17,6e+17,32059.449,105.855,940.0,155,16,45,2025-01-01
NOLSM32513312,1,Implantation,1.53e+16,1.9e+17,4.89e+17,3e+17,6e+17,31414.175,102.465,878.0,156,16,46,2025-01-01
NOLSM32513313,2,Implantation,1.35e+16,1.2e+17,4.02e+17,3.01e+17,6e+17,31370.233,102.634,904.0,155,16,47,2025-01-01
NOLSM32513314,3,Implantation,9300000000000000.0,6.26e+16,4.25e+17,3.01e+17,6e+17,31692.504,105.559,906.0,156,16,48,2025-01-01
NOLSM32513315,1,Implantation,8990000000000000.0,9.34e+16,2.63e+17,3e+17,6e+17,31606.48,104.076,886.0,154,16,49,2025-01-01
