No_Die,photo_soft_Chamber,process 2,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Lot_Num,Wafer_Num,Datetime,lithography_Chamber,Process 2-1,Line_CD,UV_type,Wavelength,Resolution,Energy_Exposure,Etching_Chamber,Process 3,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Ox_Chamber,process,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,Target,Error_message,group_id,error_class,wafer_map_truncated,oxidation_sentinel_flag,photo_softbake_sentinel_flag,photo_litho_sentinel_flag,etching_sentinel_flag,ion_implant_sentinel_flag,any_process_sentinel_flag,oxidation_rate_nm_per_min,oxid_thickness_spec_gap,oxid_below_spec,cd_resolution_ratio,exposure_energy_per_cd_nm,line_cd_band_gap,line_cd_out_of_band,total_etch_removal,etch_rate_stage1,etch_rate_stage2,etch_rate_stage3,total_flux_60_480,anneal_temp_diff
NOLSM32513146,1,Photo,1.504,13.546,15.006,20.113,202.314,89.987,502.306,4062.149,5086.059,4.808,92.45,29.993,13,42,2025-01-05,2,photo_li,32.958,G,436,515.679,109.461,3,Etching,280.0,1571.0,3642.0,5711.0,71.215,50.371,1.047,3,Implantation,1.18e+16,8.54e+16,4.07e+17,3.01e+17,6e+17,32254.038,102.937,904.0,155,2,Oxidation,dry,1158.08,O2,26.74,0.16,118,702.54,87,none,13_42,none,False,False,False,False,False,False,False,5.953728813559322,-2.5399999999999636,0,0.06391185214057582,3.3212270162024398,0.0,0,5431.0,2069.0,2071.0,1291.0,8.052e+17,749.0
NOLSM32513147,1,Photo,1.259,15.966,15.138,19.845,200.308,90.114,503.495,4088.422,5101.466,4.992,93.015,29.88,13,43,2025-01-05,2,photo_li,47.142,I,365,532.239,104.947,1,Etching,282.0,1442.0,3636.0,5694.0,71.162,50.423,1.035,1,Implantation,1.42e+16,8.73e+16,5.93e+17,3e+17,6e+17,31446.33,102.751,882.0,155,2,Oxidation,dry,1128.91,O2,36.03,0.23,98,715.4,31,none,13_43,none,False,False,False,False,False,False,False,7.3,-15.399999999999977,0,0.08857299070530344,2.2261889610114123,0.0,0,5412.0,2058.0,2194.0,1160.0,9.945e+17,727.0
NOLSM32513148,1,Photo,1.437,14.07,15.047,20.019,199.45,90.045,498.604,4043.103,5057.733,4.965,91.245,29.977,13,44,2025-01-05,2,photo_li,66.562,H,405,509.481,108.344,2,Etching,477.0,1561.0,3667.0,5723.0,71.15,51.201,1.137,2,Implantation,7830000000000000.0,1.31e+17,3.65e+17,3.03e+17,6e+17,32773.303,105.046,896.0,150,2,Oxidation,dry,937.67,O2,35.77,0.25,94,708.45,238,[['Edge-Loc']],13_44,Edge-Loc,False,False,False,False,False,False,False,7.536702127659575,-8.450000000000045,0,0.1306466776975,1.6277155133559689,11.561999999999998,1,5246.0,2056.0,2106.0,1084.0,8.0683e+17,746.0
NOLSM32513149,1,Photo,1.047,12.428,15.127,20.22,200.091,89.98,495.569,4054.042,4892.362,4.923,90.525,29.926,13,45,2025-01-05,2,photo_li,33.229,G,436,551.696,109.545,3,Etching,350.0,1690.0,3659.0,5691.0,71.056,50.202,1.26,3,Implantation,1.08e+16,3.69e+16,5.43e+17,2.99e+17,6e+17,31202.474,100.743,898.0,155,2,Oxidation,wet,1253.33,H2O,25.52,0.15,174,720.68,173,none,13_45,none,False,False,False,False,False,False,False,4.14183908045977,-20.67999999999995,0,0.06023063426234738,3.2966685726323393,0.0,0,5341.0,2032.0,1969.0,1340.0,8.897e+17,743.0
NOLSM32513150,1,Photo,1.143,15.643,14.933,20.073,198.703,90.105,494.639,3988.781,5005.211,4.942,92.134,29.991,13,46,2025-01-05,3,photo_li,42.066,I,365,512.14,108.508,1,Etching,353.0,1544.0,3649.0,5706.0,71.019,51.623,0.9,1,Implantation,1.17e+16,9.08e+16,1.99e+17,3.01e+17,6e+17,31662.121,101.165,891.0,149,2,Oxidation,dry,921.13,O2,36.38,0.11,70,711.53,103,none,13_46,none,False,False,False,False,False,False,False,10.164714285714286,-11.529999999999973,0,0.08213769672355216,2.5794703561070698,0.0,0,5353.0,2057.0,2105.0,1191.0,6.025e+17,742.0
NOLSM32513151,1,Photo,1.187,16.589,14.781,20.015,199.878,89.914,498.182,3983.666,5029.116,4.889,90.82,30.0,13,47,2025-01-05,3,photo_li,55.604,H,405,515.792,108.333,2,Etching,278.0,1463.0,3673.0,5727.0,71.255,51.489,0.897,2,Implantation,1.34e+16,7.75e+16,4.48e+17,2.99e+17,6e+17,30785.891,103.223,880.0,156,2,Oxidation,dry,1106.81,O2,37.68,0.17,87,705.96,174,none,13_47,none,False,False,False,False,False,False,False,8.11448275862069,-5.960000000000036,0,0.10780314545398144,1.948295086684411,0.6039999999999992,1,5449.0,2054.0,2210.0,1185.0,8.379e+17,724.0
NOLSM32513152,1,Photo,1.538,15.593,15.116,20.069,203.921,90.041,505.85,4015.446,4993.571,4.943,93.394,30.133,13,48,2025-01-05,3,photo_li,58.574,H,405,492.596,108.219,3,Etching,378.0,1616.0,3683.0,5709.0,71.196,51.335,0.902,3,Implantation,1.19e+16,8.61e+16,5.08e+17,2.99e+17,6e+17,31765.471,102.365,878.0,156,2,Oxidation,dry,1168.34,O2,32.77,0.14,113,702.39,177,none,13_48,none,False,False,False,False,False,False,False,6.215840707964602,-2.3899999999999864,0,0.11890880153310217,1.84756035100898,3.573999999999998,1,5331.0,2026.0,2067.0,1238.0,9.05e+17,722.0
NOLSM32513153,1,Photo,1.73,16.733,15.032,20.075,196.117,89.987,502.213,3973.865,4974.753,4.962,92.853,29.834,13,49,2025-01-05,3,photo_li,46.828,I,365,519.997,108.39,1,Etching,317.0,1449.0,3617.0,5739.0,71.199,49.658,1.036,1,Implantation,1.24e+16,1.3e+17,2.17e+17,3.01e+17,6e+17,30901.296,101.776,912.0,155,2,Oxidation,wet,1144.49,H2O,31.67,0.3,106,701.75,28,none,13_49,none,False,False,False,False,False,False,False,6.620283018867925,-1.75,0,0.09005436569826365,2.3146408131886904,0.0,0,5422.0,2122.0,2168.0,1132.0,6.604e+17,757.0
NOLSM32513154,1,Photo,1.174,18.518,14.944,20.105,204.749,90.195,502.719,4082.572,5036.127,4.991,91.217,29.816,13,50,2025-01-05,3,photo_li,43.198,I,365,498.878,109.609,2,Etching,473.0,1576.0,3672.0,5738.0,71.0,51.294,0.92,2,Implantation,1.66e+16,2.38e+17,1.03e+18,3e+17,6e+17,31877.947,101.737,914.0,155,2,Oxidation,dry,1121.67,O2,39.45,0.17,50,712.05,134,none,13_50,none,False,False,False,False,False,False,False,14.241,-12.049999999999955,0,0.08659030865261648,2.5373628408722624,0.0,0,5265.0,2066.0,2096.0,1103.0,1.5846e+18,759.0
NOLSM32513155,1,Photo,0.801,16.232,15.187,20.12,197.329,90.007,502.118,4101.115,5013.179,4.856,94.291,29.786,13,51,2025-01-05,3,photo_li,39.65,I,365,519.08,108.418,3,Etching,499.0,1450.0,3649.0,5730.0,71.297,51.457,1.242,3,Implantation,1.15e+16,1.09e+17,7.63e+17,3e+17,6e+17,30107.403,102.922,899.0,156,2,Oxidation,wet,1264.78,H2O,32.96,0.35,112,697.02,129,none,13_51,none,False,False,False,False,False,False,False,6.223392857142857,2.980000000000018,1,0.07638514294521075,2.7343757881462802,0.0,0,5231.0,2081.0,2199.0,951.0,1.1835e+18,743.0
NOLSM32513156,1,Photo,0.704,18.55,14.96,19.984,196.767,90.019,499.358,4074.562,4974.832,4.962,94.699,29.925,13,52,2025-01-05,3,photo_li,48.877,H,405,512.473,109.243,1,Etching,222.0,1390.0,3666.0,5738.0,71.394,51.344,1.095,1,Implantation,9270000000000000.0,9.56e+16,4.79e+17,2.99e+17,6e+17,32048.247,102.353,903.0,157,2,Oxidation,wet,980.6,H2O,38.1,0.18,78,705.99,78,none,13_52,none,False,False,False,False,False,False,False,9.051153846153847,-5.990000000000009,0,0.09537478072015503,2.235059434908034,0.0,0,5516.0,2072.0,2276.0,1168.0,8.8287e+17,746.0
NOLSM32513157,1,Photo,1.676,14.274,14.751,20.148,196.646,90.049,505.811,4078.084,5011.868,5.124,91.766,30.019,13,53,2025-01-05,3,photo_li,50.924,I,365,522.442,110.456,2,Etching,41.0,1646.0,3662.0,5722.0,71.559,51.552,0.944,2,Implantation,1.88e+16,1.53e+16,7.91e+17,3e+17,6e+17,31221.05,104.04,879.0,155,2,Oxidation,dry,1078.16,O2,39.94,0.21,80,707.25,60,none,13_53,none,False,False,False,False,False,False,False,8.840625,-7.25,0,0.09747302092863896,2.169036210823973,0.0,0,5681.0,2060.0,2016.0,1605.0,1.1251e+18,724.0
NOLSM32513158,1,Photo,1.059,15.872,14.975,20.033,202.187,90.007,494.907,4011.234,4985.597,5.094,94.203,30.104,13,54,2025-01-05,3,photo_li,49.218,H,405,508.907,108.218,3,Etching,65.0,1469.0,3652.0,5725.0,71.585,50.423,0.944,3,Implantation,7200000000000000.0,1.3e+17,5.99e+17,3e+17,6e+17,31645.037,100.628,890.0,157,2,Oxidation,dry,1053.93,O2,35.51,0.16,89,716.01,74,none,13_54,none,False,False,False,False,False,False,False,8.045056179775282,-16.00999999999999,0,0.09671315191184245,2.198748425372831,0.0,0,5660.0,2073.0,2183.0,1404.0,1.0362e+18,733.0
NOLSM32513159,3,Photo,1.491,14.139,15.164,19.964,200.482,90.158,503.616,4010.671,4903.493,5.014,91.896,29.921,13,1,2025-01-05,3,photo_li,41.538,I,365,505.423,109.656,1,Etching,340.0,1522.0,3644.0,5732.0,72.526,52.12,1.069,1,Implantation,1.5e+16,1.32e+17,6.47e+17,3.01e+17,6e+17,30795.903,103.363,854.0,154,3,Oxidation,dry,1198.36,O2,26.86,0.39,120,705.1,141,none,13_1,none,False,False,False,False,False,False,False,5.8758333333333335,-5.100000000000023,0,0.08218462555127092,2.639895998844432,0.0,0,5392.0,2088.0,2122.0,1182.0,1.095e+18,700.0
NOLSM32513160,1,Photo,0.859,13.44,14.953,19.954,199.971,89.942,502.263,4042.587,4979.122,4.922,91.121,29.932,13,2,2025-01-05,1,photo_li,53.514,H,405,541.668,104.93,1,Etching,265.0,1513.0,3631.0,5729.0,70.303,52.06,1.146,1,Implantation,1.11e+16,4.37e+16,1.04e+18,3.03e+17,6e+17,32135.693,105.656,895.0,156,1,Oxidation,dry,959.1,O2,30.91,0.27,137,690.72,55,none,13_2,none,False,False,False,False,False,False,False,5.041751824817519,9.279999999999973,1,0.09879483373579388,1.9607953059012595,0.0,0,5464.0,2098.0,2118.0,1248.0,1.3978e+18,739.0
NOLSM32513161,1,Photo,1.008,15.069,14.938,19.91,202.116,90.107,504.161,4025.921,5031.916,4.816,91.926,29.925,13,3,2025-01-05,2,photo_li,47.501,I,365,532.226,106.591,2,Etching,411.0,1568.0,3653.0,5729.0,71.282,50.898,1.39,2,Implantation,1.04e+16,1.51e+16,6.47e+17,2.98e+17,6e+17,31057.869,102.552,898.0,152,1,Oxidation,dry,1175.52,O2,31.09,0.24,116,702.76,96,none,13_3,none,False,False,False,False,False,False,False,6.058275862068966,-2.759999999999991,0,0.08924967964736784,2.2439738110776615,0.0,0,5318.0,2076.0,2085.0,1157.0,9.705e+17,746.0
NOLSM32513162,1,Photo,0.185,19.129,14.96,19.928,194.649,89.968,502.068,4144.371,4969.317,5.113,91.466,29.95,13,4,2025-01-05,3,photo_li,32.689,G,436,537.547,108.782,3,Etching,328.0,1326.0,3661.0,5718.0,71.263,51.741,0.948,3,Implantation,8890000000000000.0,1.02e+17,3.41e+17,3e+17,6e+17,32140.597,102.936,879.0,155,1,Oxidation,dry,927.52,O2,31.03,0.22,143,704.13,105,none,13_4,none,False,False,False,False,False,False,False,4.923986013986014,-4.1299999999999955,0,0.06081142672175642,3.3277861054177245,0.0,0,5390.0,2057.0,2335.0,998.0,7.5189e+17,724.0
NOLSM32513163,2,Photo,1.525,14.989,14.813,20.041,202.135,89.845,498.259,4049.785,5092.324,5.012,94.904,29.744,13,5,2025-01-05,1,photo_li,57.371,H,405,521.999,109.873,3,Etching,219.0,1451.0,3637.0,5729.0,72.796,50.856,0.877,3,Implantation,1.67e+16,7.88e+16,7.26e+17,3.02e+17,6e+17,31985.974,101.397,882.0,155,1,Oxidation,wet,1120.88,H2O,31.17,0.25,76,707.87,79,none,13_5,none,False,False,False,False,False,False,False,9.31407894736842,-7.8700000000000045,0,0.10990634081674486,1.915131338132506,2.371000000000002,1,5510.0,2092.0,2186.0,1232.0,1.1235e+18,727.0
NOLSM32513164,2,Photo,0.653,13.017,14.992,19.783,197.225,90.039,500.99,4030.102,4946.38,4.906,91.097,29.984,13,6,2025-01-05,2,photo_li,4.55,I,365,539.626,108.0,2,Etching,272.0,1540.0,3661.0,5704.0,70.135,51.755,0.95,2,Implantation,1.13e+16,8.12e+16,3.27e+17,2.99e+17,6e+17,31982.813,103.934,871.0,152,1,Oxidation,dry,1310.67,O2,40.93,0.33,114,712.09,96,none,13_6,none,False,False,False,False,False,False,False,6.24640350877193,-12.090000000000032,0,0.008431765704395267,23.736263736263737,20.45,1,5432.0,2043.0,2121.0,1268.0,7.185e+17,719.0
NOLSM32513165,2,Photo,0.964,17.825,14.936,19.943,202.289,89.962,502.24,4126.306,5060.409,5.12,88.45,29.95,13,7,2025-01-05,3,photo_li,59.547,I,365,482.818,107.145,1,Etching,429.0,1624.0,3617.0,5728.0,70.751,50.631,1.053,1,Implantation,1.13e+16,1.16e+17,9.13e+17,2.99e+17,6e+17,32499.25,102.979,916.0,157,1,Oxidation,dry,933.42,O2,30.11,0.04,116,714.55,115,none,13_7,none,False,False,False,False,False,False,False,6.159913793103448,-14.549999999999955,0,0.12333218728382123,1.7993349790921458,4.546999999999997,1,5299.0,2111.0,1993.0,1195.0,1.3393e+18,759.0
NOLSM32513166,3,Photo,0.273,13.408,14.808,19.964,202.518,89.951,504.088,3902.596,5113.863,5.012,92.715,29.933,13,8,2025-01-05,1,photo_li,26.823,G,436,526.432,105.812,1,Etching,561.0,1478.0,3687.0,5734.0,69.546,51.798,0.927,1,Implantation,1.12e+16,7.2e+16,5.02e+17,3e+17,6e+17,32016.674,104.373,891.0,153,1,Oxidation,dry,1033.46,O2,30.35,-0.02,218,700.8,167,none,13_8,none,False,True,False,False,False,False,True,3.2146788990825685,-0.7999999999999545,0,0.050952449699106436,3.9448234723930953,0.0,0,5173.0,2047.0,2209.0,917.0,8.852e+17,738.0
NOLSM32513167,3,Photo,1.369,15.35,15.003,20.065,200.409,89.966,504.36,3995.147,4942.908,5.206,91.635,30.04,13,9,2025-01-05,2,photo_li,23.358,I,365,507.601,104.976,2,Etching,-45.0,1414.0,3641.0,5731.0,70.1,51.015,1.139,2,Implantation,1.45e+16,6.48e+16,-8790000000000000.0,3.01e+17,6e+17,31810.428,103.694,903.0,153,1,Oxidation,wet,1136.98,H2O,32.4,0.15,119,715.42,45,none,13_9,none,False,False,False,False,True,True,True,6.011932773109243,-15.419999999999959,0,0.046016457808396756,4.494220395581813,1.6419999999999995,1,5776.0,2090.0,2227.0,1459.0,3.7151e+17,750.0
NOLSM32513168,3,Photo,0.751,12.115,15.076,19.884,202.965,90.046,499.552,4135.402,5111.518,5.132,92.777,30.033,13,10,2025-01-05,3,photo_li,59.944,G,436,509.11,106.666,3,Etching,404.0,1635.0,3653.0,5695.0,71.744,51.786,1.089,3,Implantation,1.06e+16,8.54e+16,7.99e+17,3e+17,6e+17,31969.633,102.742,883.0,161,1,Oxidation,wet,978.28,H2O,35.06,0.15,-2,687.54,168,none,13_10,none,False,True,False,False,False,False,True,,12.460000000000036,1,0.11774272750486142,1.779427465634592,4.944000000000003,1,5291.0,2042.0,2018.0,1231.0,1.195e+18,722.0
NOLSM32513169,1,Photo,1.499,12.831,14.933,19.726,199.33,90.086,497.897,4041.08,4982.678,5.054,90.222,30.043,13,11,2025-01-05,1,photo_li,54.003,G,436,492.636,110.799,3,Etching,408.0,1553.0,3651.0,5718.0,70.159,50.719,0.907,3,Implantation,1.53e+16,1.01e+17,4.94e+17,3e+17,6e+17,31419.627,103.274,862.0,154,2,Oxidation,wet,1077.35,H2O,35.36,0.18,144,722.72,156,none,13_11,none,False,False,False,False,False,False,False,5.018888888888889,-22.720000000000027,0,0.1096204905853409,2.05171934892506,0.0,0,5310.0,2067.0,2098.0,1145.0,9.103e+17,708.0
NOLSM32513170,1,Photo,0.831,14.065,14.858,19.927,204.418,89.966,504.756,4052.231,5036.134,4.835,94.719,30.105,13,12,2025-01-05,2,photo_li,20.489,G,436,547.251,110.787,2,Etching,362.0,1463.0,3683.0,5698.0,72.665,50.758,1.146,2,Implantation,1.06e+16,1.63e+17,2.2e+17,3.03e+17,6e+17,31196.011,104.465,892.0,154,2,Oxidation,wet,1013.45,H2O,38.21,0.16,58,721.67,112,none,13_12,none,False,False,False,False,False,False,False,12.442586206896552,-21.66999999999996,0,0.03743985849272089,5.407145297476695,4.510999999999999,1,5336.0,2015.0,2220.0,1101.0,6.966e+17,738.0
