resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Line_CD,Wavelength,Resolution,Energy_Exposure,Thin F2,Thin F3,Thin F4,Temp_Etching,Source_Power,Selectivity,etch_rate_stage1,Flux60s,Flux90s,Flux160s,Flux480s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Temp_OXid,ppm,Pressure,Oxid_time,oxid_thickness_spec_gap,oxidation_rate_nm_per_min,oxidation_sentinel_flag,etching_sentinel_flag,ion_implant_sentinel_flag,type,Vapor,Target,Lot_Num,group_id,error_class
0.585,17.859,15.0,19.952,202.875,90.096,496.641,3977.775,5011.992,5.17,92.938,29.958,43.965,436,522.591,108.144,3659.0,1574.0,485.0,72.745,51.202,0.909,2034.0,9580000000000000.0,1.35e+17,5.71e+17,2.99e+17,32407.776,102.79,900.0,150,1190.89,35.48,0.28,-5,-0.25,,True,False,False,dry,O2,167,9,9_5,none
1.095,14.227,15.073,19.979,200.694,89.986,498.534,4017.302,5030.5,4.978,93.595,29.983,53.549,436,515.361,109.748,3659.0,1654.0,489.0,70.305,51.679,1.12,2065.0,1.87e+16,-3.01e+16,8.68e+17,3.01e+17,32497.872,102.545,919.0,156,1339.51,32.05,0.39,26,-15.019999999999982,27.50076923076923,False,False,True,dry,O2,183,9,9_6,none
0.891,13.633,14.864,20.039,203.035,90.032,499.702,3950.594,5046.001,5.125,90.574,29.849,26.972,436,473.145,109.921,3655.0,1464.0,368.0,71.344,51.225,0.932,2076.0,1.44e+16,9.13e+16,6.47e+17,3e+17,32148.036,102.7,892.0,154,1132.36,46.54,0.2,104,-10.940000000000056,6.835961538461539,False,False,False,dry,O2,75,9,9_7,none
1.069,16.93,15.132,19.786,200.408,89.723,498.454,4053.433,5009.109,5.111,93.836,30.088,39.356,436,521.741,105.965,3645.0,1521.0,251.0,71.951,51.428,0.974,2080.0,1.77e+16,9.62e+16,8.53e+17,2.98e+17,31400.639,101.827,871.0,155,1190.83,31.52,0.3,50,-12.83000000000004,14.2566,False,False,False,wet,H2O,75,9,9_8,none
1.402,16.558,14.994,19.967,204.203,89.965,497.337,4141.255,4984.792,5.009,91.593,30.129,39.967,405,551.418,108.264,3638.0,1705.0,413.0,71.385,51.001,1.137,2071.0,1.23e+16,8.67e+16,2.55e+17,3e+17,31093.189,102.694,898.0,153,1112.41,37.78,0.26,202,-9.399999999999975,3.511881188118812,False,False,False,wet,H2O,106,9,9_9,none
1.676,12.305,14.872,19.975,201.919,89.952,502.271,4055.526,5126.249,5.06,93.561,30.118,42.271,365,567.876,108.53,3663.0,1457.0,318.0,69.984,51.435,0.919,2061.0,8760000000000000.0,1.58e+17,9.49e+17,2.99e+17,31269.05,103.391,909.0,159,990.29,25.29,0.13,84,7.009999999999991,8.249880952380952,False,False,False,wet,H2O,96,9,9_10,none
1.236,17.636,14.956,19.86,200.524,89.91,500.332,3985.59,5008.047,5.005,92.131,29.859,34.529,365,484.862,105.544,3644.0,1376.0,180.0,71.262,50.062,1.098,2044.0,1.02e+16,1.05e+17,1.81e+17,3.01e+17,32664.981,100.276,904.0,150,1275.72,39.36,0.17,25,-11.850000000000025,28.474,False,False,False,wet,H2O,102,29,29_41,none
1.706,12.383,15.015,19.862,205.351,90.212,505.532,3864.823,5051.591,5.122,93.291,29.816,42.622,405,539.314,106.046,3671.0,1439.0,150.0,69.145,50.801,0.95,2033.0,9570000000000000.0,1.41e+17,5.76e+17,3.01e+17,32131.06,103.152,921.0,152,988.82,29.96,0.14,121,-0.3700000000000045,5.788181818181818,False,False,False,dry,O2,94,9,9_11,none
1.449,16.037,14.986,19.954,198.854,90.061,498.802,4071.557,4971.507,5.074,92.362,29.929,23.801,365,468.916,104.818,3639.0,1345.0,128.0,71.419,50.301,0.999,2061.0,7580000000000000.0,3.92e+16,6.26e+16,2.99e+17,32688.64,100.503,903.0,151,1294.62,31.93,0.22,24,-15.120000000000005,29.796666666666667,False,False,False,wet,H2O,15,29,29_40,none
0.846,12.517,14.824,20.034,200.796,90.111,500.809,3955.256,5021.072,5.143,91.957,29.875,18.961,365,466.967,104.573,3644.0,1381.0,106.0,72.197,49.995,0.991,2080.0,1.19e+16,5590000000000000.0,4.93e+17,3.01e+17,32446.722,99.926,900.0,150,1290.8,44.51,0.24,25,-20.19000000000005,28.8076,False,False,False,wet,H2O,6,29,29_38,none
1.55,16.03,14.973,19.896,201.611,89.982,507.983,4037.672,4962.852,5.067,90.293,29.975,41.008,365,526.779,107.993,3671.0,1545.0,287.0,71.576,50.696,0.917,2030.0,6660000000000000.0,5.41e+16,5e+17,2.99e+17,31249.729,102.005,893.0,155,1132.54,29.71,0.04,32,-17.529999999999973,22.4228125,False,False,False,dry,O2,127,9,9_41,none
1.189,14.584,15.094,20.065,200.061,89.898,501.729,4031.254,4979.049,4.85,91.288,29.992,8.052,436,519.029,104.804,3643.0,1533.0,434.0,71.869,50.839,1.054,2049.0,9260000000000000.0,1.08e+17,1.09e+18,3.01e+17,30899.983,104.516,907.0,155,1167.57,32.92,0.33,32,-9.590000000000032,22.1746875,False,False,False,wet,H2O,90,9,9_42,none
1.532,17.407,15.094,20.199,195.193,90.074,502.395,4078.212,4973.531,4.696,93.265,30.045,37.452,365,506.435,108.641,3677.0,1520.0,223.0,70.895,51.3,1.021,2038.0,1.14e+16,1.13e+17,4.62e+17,3e+17,31964.984,104.709,885.0,156,1131.54,32.86,0.19,32,7.549999999999954,21.6390625,False,False,False,wet,H2O,114,9,9_43,none
1.252,16.074,14.95,19.984,200.903,89.917,506.96,3939.247,4936.637,5.116,88.42,30.013,29.612,365,522.296,110.055,3673.0,1353.0,454.0,70.783,51.298,1.027,2031.0,8440000000000000.0,9.18e+16,8.33e+17,3e+17,32318.723,103.053,905.0,156,1141.89,29.87,0.05,32,-10.809999999999944,22.2128125,False,False,False,dry,O2,130,9,9_44,none
1.4,18.945,15.198,20.125,200.549,90.083,501.192,4021.127,5077.15,5.05,93.002,30.002,23.929,365,559.265,105.806,3627.0,1597.0,436.0,70.58,51.822,1.16,2071.0,9640000000000000.0,7.41e+16,2.4e+17,3e+17,31891.35,101.898,883.0,155,983.82,27.4,0.3,31,-21.840000000000032,23.28516129032258,False,False,False,dry,O2,115,9,9_45,none
1.67,19.012,14.858,20.094,198.541,90.038,503.362,3998.96,4983.67,5.02,93.542,30.081,45.145,436,536.784,107.877,3653.0,1399.0,210.0,71.704,51.633,1.001,2065.0,9120000000000000.0,4.07e+16,2.54e+17,3.01e+17,31408.978,102.541,895.0,155,915.13,35.16,0.16,32,-8.610000000000014,22.1440625,False,False,False,wet,H2O,57,9,9_46,none
1.824,13.867,14.788,19.909,200.072,90.007,501.211,3942.186,5071.721,5.273,91.821,30.035,47.367,365,505.425,106.899,3652.0,1475.0,379.0,72.221,51.388,1.156,2058.0,6980000000000000.0,5.54e+16,8.43e+17,3.01e+17,32608.139,103.16,900.0,152,1037.11,37.52,0.01,30,-17.019999999999982,23.900666666666663,False,False,False,dry,O2,78,9,9_47,none
1.971,18.851,14.978,20.017,198.156,89.819,501.049,4078.108,4880.785,4.902,94.067,30.056,34.4,405,539.849,108.274,3723.0,1454.0,148.0,71.25,51.024,0.848,1996.0,4550000000000000.0,6.94e+16,4.57e+17,2.98e+17,32496.826,104.1,916.0,159,994.51,39.37,0.23,28,-14.289999999999964,25.510357142857146,False,False,False,dry,O2,124,9,9_48,none
1.167,20.746,15.036,20.133,199.516,89.971,501.731,4147.144,4925.701,4.841,91.289,30.117,29.601,365,514.129,108.004,3681.0,1517.0,385.0,69.468,51.437,1.125,2012.0,1.6e+16,1.43e+17,5.02e+17,3.02e+17,31912.037,106.471,898.0,154,1071.55,32.7,0.2,31,-7.690000000000055,22.82870967741936,False,False,False,dry,O2,145,9,9_49,none
1.438,11.155,15.151,20.031,203.224,90.08,497.052,4015.405,4917.838,4.905,96.752,29.821,41.499,436,491.598,106.867,3659.0,1460.0,330.0,71.447,50.28,0.866,2070.0,1.1e+16,7.72e+16,6.64e+16,3.03e+17,31192.322,103.554,916.0,154,1093.19,38.24,0.27,30,-8.919999999999959,23.630666666666663,False,False,False,wet,H2O,61,9,9_50,none
0.798,15.197,15.097,19.941,201.338,90.032,500.111,4115.585,5108.372,4.828,92.789,30.015,33.718,436,497.532,106.264,3633.0,1496.0,226.0,69.736,50.663,1.09,2066.0,1.75e+16,1.39e+17,6.15e+17,3e+17,31265.609,105.775,884.0,154,1205.62,38.22,0.07,27,-6.0,26.14814814814815,False,False,False,dry,O2,68,9,9_51,none
0.735,12.527,15.104,20.014,201.705,89.842,501.307,4060.395,4957.273,4.815,90.383,30.047,30.193,436,521.821,108.443,3656.0,1584.0,181.0,70.337,52.312,0.907,2050.0,1.18e+16,7.14e+16,5.56e+17,2.99e+17,32341.815,102.441,897.0,157,1133.33,38.32,0.28,27,-10.840000000000032,26.32740740740741,False,False,False,wet,H2O,100,9,9_52,none
1.238,19.893,15.364,20.055,198.598,90.091,496.526,4115.666,4991.481,5.099,92.392,30.046,76.072,405,495.559,109.151,3672.0,1429.0,301.0,70.707,51.623,1.225,2022.0,6100000000000000.0,1.23e+16,1.06e+18,3e+17,31982.524,103.142,893.0,157,1140.56,40.12,0.31,27,-14.049999999999956,26.446296296296296,False,False,False,dry,O2,90,9,9_53,none
1.994,16.83,14.87,19.797,194.591,89.966,494.575,3893.239,4866.376,4.711,88.592,29.977,35.628,365,474.913,107.005,3665.0,1424.0,309.0,71.533,50.648,1.144,2057.0,1.93e+16,,3.09e+17,2.99e+17,32444.282,101.371,877.0,152,1287.86,39.9,0.12,29,-16.610000000000014,24.710689655172413,False,False,False,wet,H2O,186,29,29_28,none
1.618,17.323,14.911,20.085,195.372,89.96,495.295,4001.242,4881.224,4.743,88.604,29.89,39.39,365,479.426,106.982,3663.0,1472.0,316.0,72.191,50.729,0.989,2038.0,7620000000000000.0,3.37e+16,1999999999999.986,3e+17,32445.342,101.786,878.0,153,1294.3,35.81,0.17,30,-20.83000000000004,24.02766666666667,False,False,False,wet,H2O,132,29,29_29,none
1.716,16.138,15.028,19.914,195.244,89.942,495.302,4054.644,4883.512,4.982,88.454,29.862,30.448,365,464.883,107.069,3666.0,1464.0,308.0,72.264,50.907,1.069,2045.0,1.1e+16,4.97e+16,8.93e+16,3e+17,32412.547,102.093,878.0,153,1286.02,28.7,0.23,32,-22.090000000000032,22.5653125,False,False,False,wet,H2O,150,29,29_30,none
2.042,18.888,14.985,19.912,194.751,90.02,494.625,3957.085,4868.1,4.894,89.147,30.002,35.158,365,472.779,106.974,3663.0,1441.0,317.0,71.133,50.947,0.984,2070.0,2800000000000000.0,32645606688.973,26639638.966,3.01e+17,31636.857,101.963,877.0,153,1290.66,34.51,0.12,31,4.409999999999968,22.4383870967742,False,False,False,wet,H2O,207,29,29_31,Edge-Loc
1.887,18.974,14.998,20.015,195.854,90.039,495.616,4087.917,4892.861,4.959,88.624,30.121,33.316,365,476.039,106.512,3682.0,1614.0,523.0,71.651,50.904,1.046,2047.0,1.96e+16,1.31e+16,4.64e+17,3e+17,30152.789,102.046,874.0,153,1284.86,45.75,0.3,31,-16.710000000000036,23.11967741935484,False,False,False,wet,H2O,354,29,29_32,Edge-Loc
0.778,14.078,14.966,20.026,199.607,90.051,499.537,4025.517,4993.132,4.886,91.764,29.931,23.023,365,466.882,105.78,3609.0,1278.0,105.0,68.403,50.142,1.079,2082.0,1.97e+16,6.28e+16,45699999999999.9,2.99e+17,32166.307,100.488,909.0,151,1281.71,44.42,0.32,33,13.57000000000005,20.80090909090909,False,False,False,wet,H2O,9,29,29_33,none
1.066,18.932,15.053,19.973,200.563,90.165,500.4,4036.751,5011.71,4.88,92.389,30.207,29.254,365,470.76,105.9,3613.0,1284.0,111.0,69.086,50.232,0.905,2066.0,2e+16,7.88e+16,6.3e+17,2.99e+17,32454.43,101.103,910.0,151,1279.63,44.41,0.2,33,8.740000000000009,20.947272727272725,False,False,False,wet,H2O,12,29,29_34,none
0.948,20.604,14.796,20.01,201.618,90.074,501.652,4013.958,5041.084,5.023,92.445,29.862,32.195,365,480.877,105.505,3632.0,1409.0,147.0,71.071,50.571,1.08,2064.0,1.29e+16,4.09e+16,3.38e+17,3e+17,32445.7,101.403,909.0,152,1279.61,44.63,0.27,32,-10.110000000000014,22.1909375,False,False,False,wet,H2O,6,29,29_35,none
0.699,11.137,15.062,20.037,200.489,89.957,500.737,3985.657,5011.169,5.049,92.358,30.094,20.387,365,469.539,104.699,3632.0,1328.0,159.0,70.884,50.372,1.08,2054.0,7340000000000000.0,1.58e+16,1.13e+16,3e+17,32450.112,100.797,900.0,151,1270.33,44.42,0.29,20,-9.08000000000004,35.454,False,False,False,wet,H2O,0,29,29_36,none
0.647,15.394,15.115,19.915,200.634,89.94,500.604,4047.586,5014.073,4.987,92.458,29.987,25.003,365,474.545,104.493,3649.0,1380.0,165.0,72.391,49.991,1.014,2090.0,7360000000000000.0,3.99e+16,2.38e+17,3e+17,32158.015,100.039,900.0,150,1280.72,44.46,0.23,26,-23.299999999999955,27.819230769230767,False,False,False,wet,H2O,21,29,29_37,none
1.163,19.756,15.017,19.981,198.718,90.029,498.974,4062.778,4971.01,4.879,91.654,29.967,17.807,365,467.556,104.505,3633.0,1296.0,187.0,70.862,49.911,0.98,2093.0,4190000000000000.0,1.12e+17,141999999999.977,2.99e+17,32657.419,99.872,900.0,150,1278.0,32.75,0.2,24,-8.730000000000018,29.530416666666667,False,False,False,wet,H2O,6,29,29_39,none
1.172,14.601,14.949,20.123,203.614,89.929,493.367,4044.385,5047.541,5.117,92.823,30.094,43.142,436,543.537,110.274,3650.0,1580.0,341.0,72.357,52.0,1.139,2073.0,1.48e+16,5.99e+16,5.52e+17,3e+17,31181.326,102.436,915.0,157,1087.42,32.0,0.18,33,-2.1000000000000227,21.275757575757577,False,False,False,wet,H2O,132,9,9_40,none
1.355,12.922,14.916,20.008,196.927,89.898,492.259,3961.809,4935.955,4.999,91.998,29.934,52.641,365,527.648,108.346,3674.0,1479.0,566.0,71.362,50.761,1.075,2072.0,1.2e+16,1.56e+17,1.4e+18,3.02e+17,32270.42,103.376,891.0,152,975.13,40.89,0.2,75,-8.639999999999986,9.448533333333334,False,False,False,wet,H2O,193,9,9_12,none
1.563,16.09,14.928,19.938,201.673,89.863,507.843,4037.615,4962.829,5.134,90.115,29.966,40.934,365,527.1,108.255,3671.0,1545.0,287.0,71.674,50.635,1.086,2030.0,6660000000000000.0,5.41e+16,5e+17,2.99e+17,31249.659,101.98,893.0,155,1114.38,29.52,0.39,136,-17.549999999999955,5.27610294117647,False,False,False,dry,O2,127,9,9_14,none
1.029,14.405,14.747,19.981,200.111,90.011,499.728,3997.014,4996.164,4.938,91.685,29.973,29.897,365,473.652,106.018,3647.0,1482.0,190.0,71.878,50.968,0.862,2064.0,1.28e+16,3430000000000000.0,1.23e+17,2.99e+17,32636.682,102.183,908.0,153,1271.35,44.42,0.18,25,-17.309999999999945,28.6924,False,False,False,wet,H2O,78,29,29_16,none
1.134,10.602,15.094,20.11,199.026,90.212,499.057,3980.642,4975.798,4.854,91.171,29.797,20.073,365,463.86,105.501,3644.0,1384.0,214.0,71.332,50.316,1.113,2086.0,2.07e+16,1.53e+17,1.17e+18,3e+17,32666.401,101.069,904.0,151,1268.96,44.36,0.13,24,-12.990000000000007,29.707916666666662,False,False,False,wet,H2O,78,29,29_17,none
1.294,20.296,14.942,20.076,198.503,89.955,498.549,3969.274,4961.773,4.975,92.015,30.096,36.446,365,480.386,106.542,3647.0,1473.0,174.0,71.393,50.848,1.013,2090.0,2e+16,2.07e+16,6.9e+17,3e+17,32646.302,102.151,908.0,153,1277.4,44.42,0.13,23,-14.75,31.07608695652174,False,False,False,wet,H2O,102,29,29_18,none
0.869,12.455,14.805,19.942,199.958,90.051,500.023,3998.252,4997.674,5.067,92.162,29.887,35.289,365,470.529,107.25,3648.0,1371.0,178.0,72.078,50.865,1.133,2092.0,1.71e+16,1.82e+16,3.78e+16,3e+17,32682.768,102.053,913.0,153,1269.25,44.4,0.3,24,-21.529999999999973,30.06375,False,False,False,wet,H2O,60,29,29_19,none
0.863,16.19,14.917,20.079,200.374,90.001,500.467,4008.709,5010.761,5.111,91.925,29.836,42.572,365,484.829,107.224,3639.0,1272.0,183.0,71.575,51.095,1.122,2075.0,9560000000000000.0,7.74e+16,4.67e+17,3e+17,32673.352,102.539,913.0,154,1274.28,44.66,0.26,25,-15.159999999999968,28.6064,False,False,False,wet,H2O,27,29,29_20,none
0.842,19.308,15.1,19.957,200.062,90.045,500.2,4004.017,5005.066,4.92,91.749,29.988,38.074,365,483.352,106.747,3641.0,1408.0,141.0,71.431,50.731,1.01,2086.0,2520000000000000.0,1.37e+16,3070000000000000.0,3e+17,32653.664,101.853,912.0,153,1277.27,44.57,0.04,26,-13.100000000000025,27.42692307692308,False,False,False,wet,H2O,66,29,29_21,none
0.886,14.613,14.94,20.04,199.709,89.956,499.436,3991.297,4989.05,4.756,91.855,30.167,34.681,365,474.453,106.831,3643.0,1361.0,176.0,71.275,50.873,1.072,2078.0,1.28e+16,1070000000000000.0,3.59e+17,3e+17,32677.062,102.108,913.0,153,1273.46,44.47,0.18,25,-14.259999999999993,28.5704,False,False,False,wet,H2O,78,29,29_22,none
0.788,18.654,15.053,19.921,199.161,89.843,499.123,3982.929,4978.733,4.958,91.722,30.087,35.719,365,478.36,106.742,3645.0,1360.0,223.0,71.532,50.853,0.961,2086.0,3840000000000000.0,3.82e+16,1875907864.97,2.98e+17,32696.529,101.925,913.0,153,1276.87,44.7,0.32,25,-14.889999999999986,28.5956,False,False,False,wet,H2O,96,29,29_23,none
1.103,14.87,14.881,19.934,199.546,90.037,499.602,3992.734,4990.897,4.939,91.985,30.075,39.425,365,486.3,106.334,3639.0,1521.0,108.0,71.637,50.665,1.004,2059.0,1.2e+16,1.18e+17,1.05e+17,3e+17,32701.062,101.748,912.0,153,1273.41,44.79,0.2,25,-15.370000000000005,28.6148,False,False,False,wet,H2O,33,29,29_24,none
0.506,19.859,14.738,20.074,199.848,89.72,499.99,3996.338,4995.566,5.02,92.366,30.001,32.082,365,474.477,106.121,3657.0,1465.0,339.0,72.525,50.508,1.023,2038.0,1.18e+16,1.09e+17,5.12e+17,3e+17,32451.48,101.51,913.0,152,1273.8,44.55,0.16,25,-24.42999999999995,28.9772,False,False,False,wet,H2O,117,29,29_25,none
0.96,12.031,15.07,20.03,200.031,89.863,500.066,4001.616,5001.921,5.095,91.894,30.241,20.999,365,465.969,105.052,3661.0,1471.0,321.0,71.834,50.477,1.146,2035.0,1.77e+16,7.78e+16,8.15e+17,3.01e+17,32534.437,101.199,904.0,152,1277.96,44.62,0.23,25,-19.50999999999999,28.7804,False,False,False,wet,H2O,186,29,29_26,none
1.106,10.612,14.928,20.003,199.306,89.963,499.132,3984.912,4981.266,5.026,91.937,30.149,31.902,365,481.737,105.549,3657.0,1596.0,328.0,71.37,49.976,1.083,2056.0,2.07e+16,1.45e+17,1.21e+18,3.02e+17,32621.423,100.561,905.0,151,1272.16,44.64,0.13,22,-13.769999999999982,32.44409090909091,False,False,False,wet,H2O,207,29,29_27,Edge-Loc
1.595,17.676,14.879,20.06,191.294,89.863,496.053,3991.011,4966.723,5.029,92.419,30.05,26.462,365,509.691,107.17,3676.0,1497.0,254.0,70.826,50.429,0.99,2069.0,1.18e+16,1.18e+17,6.36e+17,3e+17,32163.82,100.225,908.0,158,1158.97,39.53,0.32,23,-6.100000000000023,30.7,False,False,False,wet,H2O,97,10,10_28,none
0.644,16.304,14.987,20.147,202.851,90.013,500.343,4043.029,5036.669,5.092,91.012,29.944,55.051,405,523.1,105.295,3629.0,1711.0,431.0,71.605,50.729,1.02,2063.0,1.59e+16,1.22e+17,6.64e+17,3e+17,31833.674,102.313,886.0,156,1274.64,25.96,0.19,23,-4.419999999999959,30.626956521739128,False,False,False,dry,O2,104,10,10_29,none
